open,high,low,close,volume,timestamp,datetime
25.0,25.0,25.0,25.0,1.0,1628316840.0,2021-08-07 11:44:00+05:30
25.0,25.0,25.0,25.0,0.0,1628316947.0,2021-08-07 11:45:47+05:30
25.0,25.0,25.0,25.0,0.0,1628317247.0,2021-08-07 11:50:47+05:30
25.0,25.0,25.0,25.0,0.0,1628317547.0,2021-08-07 11:55:47+05:30
25.0,25.0,25.0,25.0,0.0,1628317847.0,2021-08-07 12:00:47+05:30
25.0,25.0,25.0,25.0,0.0,1628318147.0,2021-08-07 12:05:47+05:30
25.0,25.0,25.0,25.0,0.0,1628318447.0,2021-08-07 12:10:47+05:30
25.0,25.0,25.0,25.0,0.0,1628318747.0,2021-08-07 12:15:47+05:30
25.0,25.0,25.0,25.0,0.0,1628319047.0,2021-08-07 12:20:47+05:30
25.0,25.0,25.0,25.0,0.0,1628329980.0,2021-08-07 15:23:00+05:30
25.0,25.0,25.0,25.0,0.0,1628330100.0,2021-08-07 15:25:00+05:30
59.65,59.65,59.65,59.65,0.0,1632216660.0,2021-09-21 15:01:00+05:30
59.65,59.65,59.65,59.65,0.0,1632216900.0,2021-09-21 15:05:00+05:30
59.65,59.65,59.65,59.65,0.0,1632217200.0,2021-09-21 15:10:00+05:30
59.65,59.65,59.65,59.65,0.0,1632217500.0,2021-09-21 15:15:00+05:30
59.65,59.65,59.65,59.65,0.0,1632217800.0,2021-09-21 15:20:00+05:30
59.65,59.65,59.65,59.65,0.0,1632218100.0,2021-09-21 15:25:00+05:30
59.65,59.65,59.65,59.65,0.0,1632303060.0,2021-09-22 15:01:00+05:30
59.65,59.65,59.65,59.65,0.0,1632303300.0,2021-09-22 15:05:00+05:30
59.65,59.65,59.65,59.65,0.0,1632303600.0,2021-09-22 15:10:00+05:30
59.65,59.65,59.65,59.65,0.0,1632303900.0,2021-09-22 15:15:00+05:30
59.65,59.65,59.65,59.65,0.0,1632304200.0,2021-09-22 15:20:00+05:30
59.65,59.65,59.65,59.65,0.0,1632304500.0,2021-09-22 15:25:00+05:30
59.65,59.65,59.65,59.65,0.0,1632389460.0,2021-09-23 15:01:00+05:30
59.65,59.65,59.65,59.65,0.0,1632389700.0,2021-09-23 15:05:00+05:30
59.65,59.65,59.65,59.65,0.0,1632390000.0,2021-09-23 15:10:00+05:30
59.65,59.65,59.65,59.65,0.0,1632390300.0,2021-09-23 15:15:00+05:30
59.65,59.65,59.65,59.65,0.0,1632390600.0,2021-09-23 15:20:00+05:30
59.65,59.65,59.65,59.65,0.0,1632390900.0,2021-09-23 15:25:00+05:30
59.65,59.65,59.65,59.65,0.0,1632735060.0,2021-09-27 15:01:00+05:30
59.65,59.65,59.65,59.65,0.0,1632735300.0,2021-09-27 15:05:00+05:30
59.65,59.65,59.65,59.65,0.0,1632735600.0,2021-09-27 15:10:00+05:30
59.65,59.65,59.65,59.65,0.0,1632735900.0,2021-09-27 15:15:00+05:30
59.65,59.65,59.65,59.65,0.0,1632736200.0,2021-09-27 15:20:00+05:30
59.65,59.65,59.65,59.65,0.0,1632736500.0,2021-09-27 15:25:00+05:30
59.65,59.65,59.65,59.65,0.0,1632821460.0,2021-09-28 15:01:00+05:30
59.65,59.65,59.65,59.65,0.0,1632821700.0,2021-09-28 15:05:00+05:30
59.65,59.65,59.65,59.65,0.0,1632822000.0,2021-09-28 15:10:00+05:30
59.65,59.65,59.65,59.65,0.0,1632822300.0,2021-09-28 15:15:00+05:30
59.65,59.65,59.65,59.65,0.0,1632822600.0,2021-09-28 15:20:00+05:30
59.65,59.65,59.65,59.65,0.0,1632822900.0,2021-09-28 15:25:00+05:30
