open,high,low,close,volume,timestamp,datetime
4.9,4.95,4.7,4.95,4078.0,1680493500.0,2023-04-03 09:15:00+05:30
4.95,4.95,4.75,4.75,2319.0,1680493800.0,2023-04-03 09:20:00+05:30
4.75,4.95,4.75,4.95,421.0,1680494100.0,2023-04-03 09:25:00+05:30
4.95,4.95,4.9,4.9,158.0,1680494400.0,2023-04-03 09:30:00+05:30
4.9,4.9,4.75,4.75,583.0,1680494700.0,2023-04-03 09:35:00+05:30
4.75,4.8,4.75,4.8,1812.0,1680495000.0,2023-04-03 09:40:00+05:30
4.8,4.8,4.75,4.75,1329.0,1680495300.0,2023-04-03 09:45:00+05:30
4.75,4.8,4.7,4.75,132.0,1680495600.0,2023-04-03 09:50:00+05:30
4.9,4.9,4.7,4.7,2628.0,1680495900.0,2023-04-03 09:55:00+05:30
4.7,4.9,4.7,4.9,800.0,1680496200.0,2023-04-03 10:00:00+05:30
4.9,4.9,4.7,4.9,169.0,1680496500.0,2023-04-03 10:05:00+05:30
4.9,4.9,4.7,4.9,63.0,1680496800.0,2023-04-03 10:10:00+05:30
4.9,4.9,4.9,4.9,200.0,1680497100.0,2023-04-03 10:15:00+05:30
4.9,4.9,4.9,4.9,2400.0,1680497400.0,2023-04-03 10:20:00+05:30
4.9,4.9,4.9,4.9,431.0,1680497700.0,2023-04-03 10:25:00+05:30
4.9,4.9,4.9,4.9,1000.0,1680498000.0,2023-04-03 10:30:00+05:30
4.9,4.9,4.9,4.9,0.0,1680498300.0,2023-04-03 10:35:00+05:30
4.8,4.8,4.8,4.8,448.0,1680498600.0,2023-04-03 10:40:00+05:30
4.8,4.85,4.8,4.85,550.0,1680498900.0,2023-04-03 10:45:00+05:30
4.9,4.9,4.9,4.9,6200.0,1680499200.0,2023-04-03 10:50:00+05:30
4.9,4.9,4.8,4.8,46.0,1680499500.0,2023-04-03 10:55:00+05:30
4.8,4.8,4.8,4.8,0.0,1680499800.0,2023-04-03 11:00:00+05:30
4.85,4.85,4.85,4.85,200.0,1680500100.0,2023-04-03 11:05:00+05:30
4.85,4.85,4.85,4.85,0.0,1680500400.0,2023-04-03 11:10:00+05:30
4.85,4.85,4.85,4.85,0.0,1680500700.0,2023-04-03 11:15:00+05:30
4.85,4.9,4.85,4.9,70.0,1680501000.0,2023-04-03 11:20:00+05:30
4.9,4.9,4.85,4.85,11.0,1680501300.0,2023-04-03 11:25:00+05:30
4.85,4.9,4.85,4.9,50.0,1680501600.0,2023-04-03 11:30:00+05:30
4.9,4.9,4.9,4.9,6.0,1680501900.0,2023-04-03 11:35:00+05:30
4.9,4.9,4.9,4.9,960.0,1680502200.0,2023-04-03 11:40:00+05:30
4.9,4.9,4.9,4.9,0.0,1680502500.0,2023-04-03 11:45:00+05:30
4.9,4.9,4.9,4.9,20.0,1680502800.0,2023-04-03 11:50:00+05:30
4.9,4.9,4.9,4.9,368.0,1680503100.0,2023-04-03 11:55:00+05:30
4.9,4.9,4.85,4.85,1625.0,1680503400.0,2023-04-03 12:00:00+05:30
4.85,4.9,4.85,4.9,502.0,1680503700.0,2023-04-03 12:05:00+05:30
4.9,4.9,4.85,4.85,276.0,1680504000.0,2023-04-03 12:10:00+05:30
4.85,4.85,4.85,4.85,0.0,1680504300.0,2023-04-03 12:15:00+05:30
4.85,4.9,4.85,4.9,26.0,1680504600.0,2023-04-03 12:20:00+05:30
4.9,4.9,4.9,4.9,205.0,1680504900.0,2023-04-03 12:25:00+05:30
4.9,4.9,4.85,4.85,200.0,1680505200.0,2023-04-03 12:30:00+05:30
4.85,4.9,4.85,4.9,99.0,1680505500.0,2023-04-03 12:35:00+05:30
4.9,4.9,4.9,4.9,700.0,1680505800.0,2023-04-03 12:40:00+05:30
4.9,4.95,4.9,4.95,7929.0,1680506100.0,2023-04-03 12:45:00+05:30
