sector,month,beat_nifty_pct,avg_excess_ret,avg_abs_ret,n_obs
Diversified,2,60.0,1.63,0.38,20
Diversified,3,60.0,3.3,3.04,20
Diversified,4,60.0,2.8,5.24,20
Diversified,5,45.0,1.53,3.01,20
Diversified,6,45.0,-1.02,0.19,20
Diversified,7,55.0,2.97,6.54,20
Diversified,8,45.0,3.33,4.25,20
Diversified,9,65.0,1.71,1.34,20
Diversified,10,65.0,4.33,4.93,20
Diversified,11,55.0,0.98,2.54,20
Diversified,12,50.0,1.41,3.0,20
Electronics,1,61.5,4.2,3.48,13
Electronics,2,42.9,1.42,0.13,14
Electronics,3,42.9,2.25,0.44,14
Electronics,4,57.1,0.98,4.59,14
Electronics,5,50.0,0.34,0.97,14
Electronics,6,57.1,3.03,4.8,14
Electronics,7,42.9,-0.62,2.76,14
Electronics,8,71.4,5.7,7.93,14
Electronics,9,92.9,5.84,5.81,14
Electronics,10,60.0,1.86,2.06,15
Electronics,11,53.3,2.68,5.69,15
Electronics,12,73.3,5.92,7.88,15
Energy,1,51.9,1.47,1.19,27
Energy,2,53.3,1.42,0.18,30
Energy,3,46.7,0.65,0.4,30
Energy,4,56.7,1.61,4.05,30
Energy,5,33.3,-1.08,0.4,30
Energy,6,40.0,-0.75,0.46,30
Energy,7,46.7,0.02,3.59,30
Energy,8,50.0,-0.03,0.89,30
Energy,9,56.7,1.86,1.48,30
Energy,10,56.7,-0.02,0.58,30
Energy,11,46.7,0.34,1.9,30
Energy,12,43.3,0.38,1.96,30
FMCG,1,37.0,-1.32,-1.61,81
FMCG,2,47.8,0.12,-1.13,90
FMCG,3,60.0,1.81,1.55,90
FMCG,4,54.4,0.39,2.83,90
FMCG,5,55.6,2.14,3.62,90
FMCG,6,64.4,1.63,2.84,90
FMCG,7,58.9,0.79,4.36,90
FMCG,8,50.0,0.77,1.69,90
FMCG,9,47.8,0.05,-0.33,90
FMCG,10,36.7,-1.58,-0.98,90
FMCG,11,43.3,-0.72,0.84,90
FMCG,12,47.8,-0.07,1.52,90
Fintech,1,50.0,-0.17,-1.02,6
Fintech,2,50.0,-1.58,-2.91,6
Fintech,3,50.0,-3.91,-1.95,6
Fintech,4,33.3,0.24,1.31,6
Fintech,5,66.7,3.33,3.07,6
Fintech,6,83.3,6.34,8.1,6
Fintech,7,50.0,-3.44,1.76,6
Fintech,8,83.3,10.86,11.56,6
Fintech,9,16.7,-2.82,-2.65,6
