SEM_TRADING_SYMBOL,SEM_SMST_SECURITY_ID
ARE&M,100
EMAMIPAP,10074
FACT,1008
GODREJCP,10099
SCHAEFFLER,1011
ORICONENT,10159
SETFNIF50,10176
BALKRISHNA,10181
SHYAMCENT,10188
ADANIENSOL,10217
MANORAMA,10227
FEDERALBNK,1023
CONFIPET,10238
SYNGENE,10243
KAYA,10276
NGLFINE,10277
AYMSYNTEX,10285
PPL,10297
AARON,1030
RAMASTEEL,10300
AURUM,10310
PKTEA,10321
RADHIKAJWE,10343
DGCONTENT,10346
CSLFINANCE,10350
UNIVAFOODS,10366
FINCABLES,1038
JISLJALEQS,10397
SHAREINDIA,104
PREMIERPOL,10401
STEELCITY,10406
FINPIPE,1041
KSHITIJPOL,10412
MUTHOOTCAP,10415
DYCL,10417
AXISBNKETF,1044
LUPIN,10440
UNITDSPR,10447
SATIN,10453
ARVSMART,10457
POWERMECH,10473
RAMRAT,10485
MOHEALTH,10508
NIFTYBETA,10511
CONS,10512
SENSEXBETA,10515
UFLEX,1053
SHARDAMOTR,10530
NAVKARCORP,10557
RAMAPHO,10568
NIFTYBEES,10576
KRBL,10577
MPSLTD,10578
MARKSANS,10579
TCI,10580
MOM30IETF,10585
SHREEPUSHK,10588
GUJGASLTD,10599
BHARTIARTL,10604
LOYALTEX,10605
SADBHIN,10618
HDFCNEXT50,10619
HDFCNIF100,10633
ASAL,10634
OLECTRA,10637
PONNIERODE,10661
PNB,10666
MNC,10676
NIFTYQLITY,10690
MOMENTUM,10693
SURANAT&P,10700
TEAMGTY,10717
INFRAIETF,10723
INDIAMART,10726
FOSECOIND,1073
SPORTKING,10733
OFSS,10738
UNIONBANK,10753
APTECHT,10755
ZENSARTECH,1076
SILVERADD,10761
OAL,10768
NOIDATOLL,10786
NUCLEUS,10791
SYRMA,10793
CANBK,10794
MOQUALITY,10822
MOVALUE,10825
SEYAIND,10836
GABRIEL,1085
DREAMFOLKS,10859
GVPTECH,10865
GRMOVER,10871
HDFCSILVER,10876
DBOL,10895
GENESYS,10905
GODREJIND,10925
RADAAN,10932
JUNIORBEES,10939
DIVISLAB,10940
TMB,10945
STCINDIA,10948
RADICO,10990
INDORAMA,10993
MARUTI,10999
GARFIBRES,1100
LIQUIDBEES,11006
INFOBEAN,11027
SANGINITA,11033
BANKIETF,11037
DCMNVL,11039
SATIA,11045
SIRCA,11050
KSOLVES,11060
SECURKLOUD,11062
NATHBIOGEN,11065
AGRITECH,11072
GFSTEELS,11079
LIBAS,11082
DANGEE,1110
SUMIT,11141
CNL,11155
HARSHA,11162
COFFEEDAY,11165
IDFCFIRSTB,11184
AXISILVER,11193
INDIGO,11195
SHK,11212
VARDHACRLC,11220
UCOBANK,11223
BAGFILMS,11226
SUVEN,11233
JSL,11236
NSIL,11239
HDFCGROWTH,11241
WELSPUNLIV,11253
HDFCQUAL,11255
JAIBALAJI,11256
HDFCVALUE,11260
IGL,11262
TVSELECT,11265
GHCL,1127
DREDGECORP,11271
TVTODAY,11275
UPL,11287
GTECJAINX,1129
UNIENTER,11293
SIL,11297
LUXIND,11301
BALAXI,11314
LICNETFN50,11319
MUKANDLTD,11325
APOLLO,1134
AFFLE,11343
PETRONET,11351
PTC,11355
DHANBANK,11359
VAIBHAVGBL,11364
TTKHLTCARE,11369
BGLOBAL,11371
BIOCON,11373
TIPSFILMS,11374
MAHABANK,11377
PVTBANIETF,11386
GICHSGFIN,1139
ZOTA,11394
SALZERELEC,11399
POONAWALLA,11403
XPROINDIA,11407
RKFORGE,11411
GINNIFILA,1142
DATAMATICS,11423
NDTV,11427
SPANDANA,11435
BANKBEES,11439
KRITINUT,11440
LICNETFSEN,11441
PILANIINVS,11445
GIPCL,1145
CCL,11452
