date,total_stocks,up_gt_1pct,up_gt_2pct,down_gt_1pct,down_gt_2pct,moved_gt_1pct,moved_gt_2pct,pct_moved_gt_1pct,pct_moved_gt_2pct,pct_up_gt_1pct,pct_up_gt_2pct,pct_down_gt_1pct,pct_down_gt_2pct
2024-02-26,2168,472,301,804,375,1276,676,58.9,31.2,21.8,13.9,37.1,17.3
2024-02-27,2135,399,204,846,435,1245,639,58.3,29.9,18.7,9.6,39.6,20.4
2024-02-28,2135,147,82,1531,1015,1678,1097,78.6,51.4,6.9,3.8,71.7,47.5
2024-02-29,2138,576,340,586,280,1162,620,54.3,29.0,26.9,15.9,27.4,13.1
2024-03-01,2151,905,506,363,160,1268,666,58.9,31.0,42.1,23.5,16.9,7.4
2024-03-04,2172,363,207,1094,631,1457,838,67.1,38.6,16.7,9.5,50.4,29.1
2024-03-05,2151,345,204,1016,558,1361,762,63.3,35.4,16.0,9.5,47.2,25.9
2024-03-06,2151,165,92,1445,1036,1610,1128,74.8,52.4,7.7,4.3,67.2,48.2
2024-03-07,2154,720,390,423,187,1143,577,53.1,26.8,33.4,18.1,19.6,8.7
2024-03-08,2154,720,390,423,187,1143,577,53.1,26.8,33.4,18.1,19.6,8.7
2024-03-11,2177,188,101,1502,1161,1690,1262,77.6,58.0,8.6,4.6,69.0,53.3
2024-03-12,2154,125,70,1577,1211,1702,1281,79.0,59.5,5.8,3.2,73.2,56.2
2024-03-13,2153,37,22,1960,1728,1997,1750,92.8,81.3,1.7,1.0,91.0,80.3
2024-03-14,2156,1476,1194,272,137,1748,1331,81.1,61.7,68.5,55.4,12.6,6.4
2024-03-15,2155,553,353,757,378,1310,731,60.8,33.9,25.7,16.4,35.1,17.5
2024-03-18,2174,638,419,642,327,1280,746,58.9,34.3,29.3,19.3,29.5,15.0
2024-03-19,2156,272,173,1210,684,1482,857,68.7,39.7,12.6,8.0,56.1,31.7
2024-03-20,2156,482,286,737,381,1219,667,56.5,30.9,22.4,13.3,34.2,17.7
2024-03-21,2159,1332,880,196,91,1528,971,70.8,45.0,61.7,40.8,9.1,4.2
2024-03-22,2158,913,528,351,135,1264,663,58.6,30.7,42.3,24.5,16.3,6.3
2024-03-25,2158,913,528,351,135,1264,663,58.6,30.7,42.3,24.5,16.3,6.3
2024-03-26,2182,380,242,1108,760,1488,1002,68.2,45.9,17.4,11.1,50.8,34.8
2024-03-27,2160,528,321,854,554,1382,875,64.0,40.5,24.4,14.9,39.5,25.6
2024-03-28,2160,663,341,666,348,1329,689,61.5,31.9,30.7,15.8,30.8,16.1
2024-03-29,2160,663,341,666,348,1329,689,61.5,31.9,30.7,15.8,30.8,16.1
2024-04-01,2182,1684,1425,121,55,1805,1480,82.7,67.8,77.2,65.3,5.5,2.5
