date,symbol,gap_pct,direction,entry_price,sl_price,target_price,outcome,exit_price,pnl_pct,pnl_rs,exit_time,candle_idx,month,gap_bucket
2023-06-01,ABB,-3.84,LONG,4131.05,4100.07,4193.02,LOSS,4100.07,-0.75,-743.59,2023-06-01 09:15:00+05:30,0,2023-06,3-5%
2024-02-21,ABB,3.2,SHORT,4670.7,4705.73,4600.64,LOSS,4705.73,-0.75,-735.64,2024-02-21 09:15:00+05:30,0,2024-02,3-5%
2024-02-22,ABB,3.83,SHORT,5201.4,5240.41,5123.38,LOSS,5240.41,-0.75,-741.2,2024-02-22 09:15:00+05:30,0,2024-02,3-5%
2024-03-27,ABB,4.14,SHORT,6175.45,6221.77,6082.82,LOSS,6221.77,-0.75,-741.05,2024-03-27 09:15:00+05:30,0,2024-03,3-5%
2024-05-13,ABB,4.2,SHORT,7506.8,7563.1,7394.2,LOSS,7563.1,-0.75,-731.91,2024-05-13 09:15:00+05:30,0,2024-05,3-5%
2024-06-03,ABB,2.55,SHORT,8500.5,8564.25,8372.99,LOSS,8564.25,-0.75,-701.29,2024-06-03 10:15:00+05:30,1,2024-06,2-3%
2024-06-05,ABB,2.48,SHORT,7849.85,7908.72,7732.1,WIN,7732.1,1.5,1412.97,2024-06-05 09:15:00+05:30,0,2024-06,2-3%
2024-08-05,ABB,-2.31,LONG,7400.0,7344.5,7511.0,LOSS,7344.5,-0.75,-721.5,2024-08-05 09:15:00+05:30,0,2024-08,2-3%
2024-08-09,ABB,2.52,SHORT,8142.3,8203.37,8020.17,LOSS,8203.37,-0.75,-732.81,2024-08-09 09:15:00+05:30,0,2024-08,2-3%
2024-11-25,ABB,3.76,SHORT,7166.0,7219.75,7058.51,LOSS,7219.75,-0.75,-698.69,2024-11-25 10:15:00+05:30,1,2024-11,3-5%
2025-02-03,ABB,-7.81,LONG,5415.8,5375.18,5497.04,LOSS,5375.18,-0.75,-731.13,2025-02-03 09:15:00+05:30,0,2025-02,5-10%
2025-02-18,ABB,3.27,SHORT,5422.25,5462.92,5340.92,LOSS,5462.92,-0.75,-732.0,2025-02-18 09:15:00+05:30,0,2025-02,3-5%
2025-04-07,ABB,-6.22,LONG,4779.15,4743.31,4850.84,WIN,4850.84,1.5,1433.74,2025-04-07 09:15:00+05:30,0,2025-04,5-10%
2025-04-11,ABB,2.25,SHORT,5148.95,5187.57,5071.72,WIN,5071.72,1.5,1467.45,2025-04-11 10:15:00+05:30,1,2025-04,2-3%
2025-04-21,ABB,2.28,SHORT,5692.0,5734.69,5606.62,WIN,5606.62,1.5,1451.46,2025-04-21 09:15:00+05:30,0,2025-04,2-3%
2025-05-12,ABB,2.74,SHORT,5615.0,5657.11,5530.78,LOSS,5657.11,-0.75,-715.91,2025-05-12 09:15:00+05:30,0,2025-05,2-3%
2025-06-13,ABB,-2.03,LONG,5898.5,5854.26,5986.98,WIN,5986.98,1.5,1415.64,2025-06-13 14:15:00+05:30,5,2025-06,2-3%
2025-11-07,ABB,-2.26,LONG,5110.0,5071.68,5186.65,LOSS,5071.68,-0.75,-728.17,2025-11-07 09:15:00+05:30,0,2025-11,2-3%
2026-02-03,ABB,4.83,SHORT,5732.0,5774.99,5646.02,WIN,5646.02,1.5,1461.66,2026-02-03 09:15:00+05:30,0,2026-02,3-5%
2026-03-02,ABB,-2.05,LONG,5955.5,5910.83,6044.83,WIN,6044.83,1.5,1429.32,2026-03-02 09:15:00+05:30,0,2026-03,2-3%
2026-03-24,ABB,2.72,SHORT,6199.0,6245.49,6106.02,WIN,6106.02,1.5,1487.76,2026-03-24 09:15:00+05:30,0,2026-03,2-3%
2026-04-01,ABB,2.68,SHORT,6101.0,6146.76,6009.48,LOSS,6146.76,-0.75,-732.12,2026-04-01 09:15:00+05:30,0,2026-04,2-3%
2023-12-04,ACC,3.12,SHORT,1959.55,1974.25,1930.16,LOSS,1974.25,-0.75,-749.53,2023-12-04 09:15:00+05:30,0,2023-12,3-5%
2024-06-03,ACC,4.5,SHORT,2661.05,2681.01,2621.13,WIN,2621.13,1.5,1476.88,2024-06-03 09:15:00+05:30,0,2024-06,3-5%
2024-06-05,ACC,3.03,SHORT,2349.0,2366.62,2313.76,WIN,2313.76,1.5,1479.87,2024-06-05 09:15:00+05:30,0,2024-06,3-5%
2024-07-30,ACC,-2.37,LONG,2542.65,2523.58,2580.79,WIN,2580.79,1.5,1487.45,2024-07-30 09:15:00+05:30,0,2024-07,2-3%
2024-10-03,ACC,-2.01,LONG,2460.6,2442.15,2497.51,WIN,2497.51,1.5,1476.36,2024-10-03 09:15:00+05:30,0,2024-10,2-3%
2024-11-21,ACC,-8.44,LONG,2001.3,1986.29,2031.32,LOSS,1986.29,-0.75,-735.48,2024-11-21 09:15:00+05:30,0,2024-11,5-10%
