date,symbol,gap_pct,entry_price,sl_price,target1_price,target2_price,risk_pct,first_candle_green,entry_triggered,outcome,exit_price,pnl_pct,pnl_rs,exit_candle,partial_pnl_rs,trail_pnl_rs,max_favorable,max_adverse
2023-06-01,ABB,-3.84,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-04-07,ABB,-6.22,4949.95,4779.15,5120.75,5291.55,3.45,True,True,WIN_TRAIL,5001.0,1.02,1021.0,5,0.0,1021.0,1.17,1.31
2025-04-07,ACC,-4.13,1916.9,1874.05,1959.75,2002.6,2.24,True,True,WIN_TRAIL,1934.0,0.89,889.2,5,0.0,889.2,1.41,1.17
2025-04-07,ALKEM,-4.39,4733.64990234375,4622.89990234375,4844.39990234375,4955.14990234375,2.339632255971547,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-05-30,ALKEM,-3.28,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2023-10-23,AMBER,-4.83,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-05,AMBER,-3.53,4276.6,4120.1,4433.1,4589.6,3.66,True,True,SMALL_LOSS,4249.6,-0.62,-621.0,5,0.0,-621.0,0.0,3.37
2026-03-02,AMBER,-3.07,7960.0,7725.0,8195.0,8430.0,2.9522613065326633,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-03,AMBUJACEM,-3.47,499.0,489.0,509.0,519.0,2.004008016032064,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-04-07,APOLLOHOSP,-3.42,6723.75,6500.0,6947.5,7171.25,3.327756088492285,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-05,ASIANPAINT,-3.81,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-04-07,ASIANPAINT,-5.44,2335.0,2225.1,2444.9,2554.8,4.71,True,True,WIN_TRAIL,2343.0,0.34,336.0,5,0.0,336.0,0.81,0.66
2026-01-28,ASIANPAINT,-3.55,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2026-03-02,ASIANPAINT,-3.2,2329.60009765625,2300.10009765625,2359.10009765625,2388.60009765625,1.2663117601033405,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2026-03-09,ASIANPAINT,-3.58,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-03,AUROPHARMA,-3.84,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-19,AUROPHARMA,-5.5,1130.35,1056.65,1204.05,1277.75,6.52,True,True,WIN_TRAIL,1136.55,0.55,545.61,5,0.0,545.61,0.73,1.26
2025-04-09,AUROPHARMA,-3.5,1076.0,1042.300048828125,1109.699951171875,1143.39990234375,3.131965722293216,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2026-03-09,AUROPHARMA,-3.09,1218.0,1193.8,1242.2,1266.4,1.99,True,True,WIN_FULL,1247.3,2.19,2193.5,5,992.2,1201.3,2.64,0.0
2023-05-29,BALKRISIND,-5.82,2366.25,2249.64990234375,2482.85009765625,2599.4501953125,4.9276322305863705,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-05,BALKRISIND,-3.38,3240.0,3181.050048828125,3298.949951171875,3357.89990234375,1.8194429374035495,True,False,NO_ENTRY,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-12,BALKRISIND,-3.37,0.0,0.0,0.0,0.0,0.0,False,False,NO_SIGNAL,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
