symbol,sector,setup,entry_date,exit_date,pnl,r_multiple,win,exit_reason,trading_days,market_state
TECHM.NS,IT,A_flat_base,2019-02-07,2019-06-27,-1010.8,-1.011,False,stop,92,bull
TECHM.NS,IT,A_flat_base,2021-08-02,2021-09-23,1823.53,1.824,True,target_2r,37,bull
TECHM.NS,IT,A_flat_base,2023-09-18,2023-09-28,-1094.72,-1.095,False,stop,8,bull
TECHM.NS,IT,A_flat_base,2024-07-15,2024-08-28,2332.16,2.332,True,target_2r,31,bull
POWERGRID.NS,Utilities,A_flat_base,2016-07-29,2017-01-31,2033.99,2.034,True,target_2r,125,bull
POWERGRID.NS,Utilities,A_flat_base,2018-05-09,2018-05-31,-1046.05,-1.046,False,stop,17,bull
POWERGRID.NS,Utilities,A_flat_base,2024-05-03,2024-06-04,-1040.32,-1.04,False,stop,22,bull
NTPC.NS,Utilities,A_flat_base,2016-07-01,2016-07-15,-1061.11,-1.061,False,stop_gap_down,10,bull
NTPC.NS,Utilities,A_flat_base,2016-08-19,2016-09-12,-1200.8,-1.201,False,stop,16,bull
NTPC.NS,Utilities,A_flat_base,2017-01-13,2017-03-02,-1201.6,-1.202,False,stop,33,bull
NTPC.NS,Utilities,A_flat_base,2021-05-12,2021-09-29,2165.43,2.165,True,target_2r,97,bull
NTPC.NS,Utilities,A_flat_base,2022-04-04,2022-04-18,1715.0,1.715,True,target_2r,9,bull
NTPC.NS,Utilities,A_flat_base,2022-04-19,2022-05-11,-1241.14,-1.241,False,stop,16,bull
NTPC.NS,Utilities,A_flat_base,2022-11-02,2023-07-31,1897.46,1.897,True,target_2r,185,bull
NTPC.NS,Utilities,A_flat_base,2023-09-04,2023-12-01,2372.7,2.373,True,target_2r,60,bull
NTPC.NS,Utilities,A_flat_base,2023-12-04,2024-02-05,2533.96,2.534,True,target_2r,43,bull
NTPC.NS,Utilities,A_flat_base,2024-03-05,2024-03-13,-1157.95,-1.158,False,stop,6,bull
NTPC.NS,Utilities,A_flat_base,2024-09-20,2024-11-12,-1226.54,-1.227,False,stop,37,bull
ONGC.NS,Energy,A_flat_base,2017-11-07,2017-11-14,-1285.3,-1.285,False,stop,6,bull
ONGC.NS,Energy,A_flat_base,2019-04-25,2019-07-08,-1086.31,-1.086,False,stop,50,bull
ONGC.NS,Energy,A_flat_base,2021-02-17,2021-02-25,1919.6,1.92,True,target_2r,7,bull
ONGC.NS,Energy,A_flat_base,2021-10-06,2021-12-20,-1196.15,-1.196,False,stop,51,bull
ONGC.NS,Energy,A_flat_base,2022-01-20,2022-05-10,-1151.83,-1.152,False,stop,73,bull
ONGC.NS,Energy,A_flat_base,2023-09-04,2023-12-04,2397.44,2.397,True,target_2r,61,bull
ONGC.NS,Energy,A_flat_base,2023-12-05,2024-01-15,1950.92,1.951,True,target_2r,29,bull
ONGC.NS,Energy,A_flat_base,2024-01-16,2024-03-05,2014.62,2.015,True,target_2r,34,bull
ONGC.NS,Energy,A_flat_base,2024-04-16,2024-05-09,-918.44,-0.918,False,stop,16,bull
ONGC.NS,Energy,A_flat_base,2024-07-16,2024-09-11,-1121.14,-1.121,False,stop,40,bull
DIVISLAB.NS,Pharma,A_flat_base,2017-12-28,2018-01-31,-1004.23,-1.004,False,stop,24,bull
DIVISLAB.NS,Pharma,A_flat_base,2018-09-18,2018-10-24,-997.4,-0.997,False,stop,24,bull
DIVISLAB.NS,Pharma,A_flat_base,2019-01-11,2019-03-06,1853.93,1.854,True,target_2r,37,bull
DIVISLAB.NS,Pharma,A_flat_base,2021-06-01,2021-07-16,1800.12,1.8,True,target_2r,34,bull
DIVISLAB.NS,Pharma,A_flat_base,2021-07-19,2021-09-01,1792.76,1.793,True,target_2r,31,bull
DIVISLAB.NS,Pharma,A_flat_base,2023-07-06,2023-10-25,-984.34,-0.984,False,stop,76,bull
DIVISLAB.NS,Pharma,A_flat_base,2024-07-29,2024-10-09,1536.46,1.536,True,target_2r,51,bull
DRREDDY.NS,Pharma,A_flat_base,2018-08-24,2019-02-15,-1148.11,-1.148,False,stop,118,bull
DRREDDY.NS,Pharma,A_flat_base,2023-08-10,2023-09-28,-1112.55,-1.113,False,stop,34,bull
CIPLA.NS,Pharma,A_flat_base,2020-08-11,2021-09-29,1843.8,1.844,True,target_2r,284,bull
CIPLA.NS,Pharma,A_flat_base,2023-07-28,2024-03-11,1875.26,1.875,True,target_2r,152,bull
