symbol,sector,entry_date,exit_date,trading_days,entry,stop_initial,stop_final,target,exit_price,exit_reason,shares,pnl,r_multiple,win,market_state,season_score,rs_vs_nifty,adx_at_entry,pullback_candles,nifty_return_pct,nifty_green
WIPRO.NS,IT,2024-02-05,2024-02-08,4,226.61,219.06,230.858335548395,241.71,230.858335548395,stop,132,460.78,0.461,True,bull,60.0,12.3,32.6,5,-0.62,False
WIPRO.NS,IT,2024-02-13,2024-02-19,5,236.04,225.7,244.16943617912892,256.72,251.1999359130859,hard_time_exit,96,1355.35,1.355,True,bull,60.0,20.3,33.6,2,2.34,True
ULTRACEMCO.NS,Cement,2021-02-25,2021-02-26,2,6239.19,5928.78,6167.236377172229,6860.02,6167.236377172229,stop,3,-315.86,-0.316,False,bull,62.0,16.9,50.7,3,-3.02,False
TITAN.NS,Consumer,2017-07-04,2017-07-04,1,516.71,483.15,510.3915885441923,583.84,510.3915885441923,stop,29,-283.23,-0.283,False,bull,50.0,11.6,35.8,5,-0.02,False
TITAN.NS,Consumer,2017-09-06,2017-09-07,2,619.83,580.56,617.4085123661671,698.36,617.4085123661671,stop,25,-160.54,-0.161,False,bull,56.7,13.5,45.6,5,-0.22,False
TITAN.NS,Consumer,2018-05-02,2018-05-02,1,955.63,919.94,941.10931080814,1027.0,941.10931080814,stop,28,-506.58,-0.507,False,bull,53.3,13.8,42.5,5,-0.2,False
TITAN.NS,Consumer,2018-05-10,2018-05-10,1,964.82,922.27,944.0259155753208,1049.93,944.0259155753208,stop,23,-578.26,-0.578,False,bull,46.7,20.1,38.3,5,-0.23,False
TITAN.NS,Consumer,2019-10-16,2019-10-23,5,1251.71,1188.83,1269.786735411199,1377.48,1322.9031982421875,hard_time_exit,15,967.9,0.968,True,bull,46.7,16.7,27.4,3,1.54,True
TITAN.NS,Consumer,2021-08-16,2021-08-16,1,1806.13,1746.2,1795.191292193843,1925.98,1795.191292193843,stop,16,-275.02,-0.275,False,bull,73.3,14.7,25.7,5,0.21,True
SUNPHARMA.NS,Pharma,2022-11-25,2022-12-01,5,1002.62,956.33,1002.9689022159848,1095.2,1009.8203735351562,hard_time_exit,21,51.21,0.051,True,bull,49.5,11.4,36.8,5,1.78,True
HCLTECH.NS,IT,2021-10-11,2021-10-11,1,1068.66,1032.69,1062.7043994810388,1140.59,1062.7043994810388,stop,27,-260.8,-0.261,False,bull,52.0,22.4,47.0,5,0.28,True
NESTLEIND.NS,FMCG,2018-05-14,2018-05-15,2,429.38,401.44,428.0004052616776,485.25,428.0004052616776,stop,35,-148.29,-0.148,False,bull,55.6,32.8,40.7,5,-0.04,False
NESTLEIND.NS,FMCG,2018-07-12,2018-07-18,5,464.15,441.04,461.0627672238541,510.37,470.272705078125,hard_time_exit,43,163.28,0.163,True,neutral,58.9,13.8,26.2,5,0.29,True
TECHM.NS,IT,2017-10-11,2017-10-16,4,351.51,337.45,357.93261650100516,379.63,357.93261650100516,stop,71,356.01,0.356,True,bull,52.0,21.8,33.5,3,2.14,True
TECHM.NS,IT,2017-10-27,2017-11-01,4,363.63,342.05,360.39223805293096,406.79,360.39223805293096,stop,46,-248.94,-0.249,False,bull,52.0,21.1,26.7,5,0.93,True
TECHM.NS,IT,2021-11-09,2021-11-10,2,1360.11,1261.87,1351.7829214451835,1556.58,1351.7829214451835,stop,10,-183.27,-0.183,False,neutral,62.0,15.0,27.1,5,-0.28,False
TECHM.NS,IT,2021-11-18,2021-11-18,1,1411.69,1315.41,1388.341308438114,1604.24,1388.341308438114,stop,10,-333.49,-0.333,False,neutral,62.0,11.4,28.6,5,-0.75,False
POWERGRID.NS,Utilities,2016-07-27,2016-08-02,5,61.56,57.38,62.44428532433294,69.93,63.59967422485352,hard_time_exit,239,387.48,0.387,True,bull,49.4,11.1,25.6,5,0.38,True
POWERGRID.NS,Utilities,2023-04-18,2023-04-18,1,157.51,148.84,154.29807385704865,174.85,154.29807385704865,stop,115,-469.37,-0.469,False,neutral,52.9,15.5,25.6,5,-0.26,False
