symbol,sector,entry_date,exit_date,entry_time,exit_time,trading_days,entry,stop_initial,stop_final,target,exit_price,exit_reason,shares,pnl,r_multiple,win,market_state,season_score,rs_vs_nifty,adx_at_signal,pullback_candles,trail_updates,nifty_return_pct,nifty_green
PRESTIGE.NS,Real Estate,2023-06-05,2023-06-07,2023-06-05 12:15:00+05:30,2023-06-07 10:15:00+05:30,2,500.55,486.88,511.8500061035156,527.89,527.89,target_2r,73,1895.82,1.896,True,neutral,58.0,16.6,33.9,4,2,0.19,True
AUROPHARMA.NS,Pharma,2023-06-06,2023-06-09,2023-06-06 15:15:00+05:30,2023-06-09 09:15:00+05:30,3,665.11,651.42,665.6500244140625,692.51,665.65,stop,73,-60.58,-0.061,False,bull,62.1,34.9,35.0,8,3,0.18,True
DLF.NS,Real Estate,2023-06-13,2023-06-15,2023-06-13 12:15:00+05:30,2023-06-15 11:15:00+05:30,2,499.35,486.38,499.7000122070313,525.28,499.7,stop,77,-73.05,-0.073,False,bull,58.0,30.4,43.8,8,2,0.09,True
MAXHEALTH.NS,Healthcare,2023-06-13,2023-06-19,2023-06-13 10:15:00+05:30,2023-06-19 09:15:00+05:30,4,576.03,561.54,586.0,604.99,604.99,target_2r,69,1898.24,1.898,True,bull,59.0,24.7,38.1,2,4,0.69,True
PHOENIXLTD.NS,Real Estate,2023-06-20,2023-06-21,2023-06-20 12:15:00+05:30,2023-06-21 11:15:00+05:30,1,790.61,775.56,779.4000244140625,820.73,779.4,stop,63,-806.23,-0.806,False,bull,58.0,16.6,35.6,8,1,0.6,True
DLF.NS,Real Estate,2023-06-30,2023-07-03,2023-06-30 11:15:00+05:30,2023-07-03 09:15:00+05:30,1,492.49,480.8,486.8999938964844,515.89,486.9,stop,85,-575.15,-0.575,False,bull,58.0,25.2,26.2,3,1,1.2,True
MFSL.NS,Insurance,2023-08-18,2023-08-22,2023-08-18 10:15:00+05:30,2023-08-22 09:15:00+05:30,2,866.87,847.97,866.75,904.65,866.75,stop,52,-106.24,-0.106,False,bull,45.2,20.7,33.3,4,2,0.7,True
NHPC.NS,Utilities,2023-08-23,2023-08-24,2023-08-23 15:15:00+05:30,2023-08-24 09:15:00+05:30,1,50.6,50.02,50.02,51.75,51.75,target_2r,988,1036.2,1.036,True,bull,53.4,10.7,36.7,2,0,0.61,True
Dixon.NS,Electronics,2023-08-21,2023-08-24,2023-08-21 15:15:00+05:30,2023-08-24 14:15:00+05:30,3,4892.89,4713.14,4951.35009765625,5252.39,4951.35,stop,5,192.3,0.192,True,bull,71.4,50.0,26.4,8,3,-0.0,False
LUPIN.NS,Pharma,2023-10-18,2023-10-18,2023-10-18 12:15:00+05:30,2023-10-18 14:15:00+05:30,0,1205.8,1190.22,1190.22,1236.98,1190.22,stop,41,-738.78,-0.739,False,neutral,47.6,27.7,38.3,5,0,-0.15,False
