symbol,sector,setup,entry_date,exit_date,trading_days,entry,stop,target_2r,exit_price,exit_reason,shares,pnl,r_multiple,win,market_state
RELIANCE.NS,Energy,A_flat_base,2016-09-19,2016-10-13,17,235.26,219.63,266.51,231.64649963378903,time_stop,62,-324.04,-0.324,False,bull
RELIANCE.NS,Energy,A_flat_base,2017-02-23,2017-04-10,30,266.19,229.04,340.5,302.6864013671875,hard_time_exit,28,931.19,0.931,True,bull
RELIANCE.NS,Energy,A_flat_base,2017-07-24,2017-08-11,15,353.74,333.73,393.75,341.5133361816406,time_stop,61,-845.83,-0.846,False,bull
RELIANCE.NS,Energy,A_flat_base,2018-07-13,2018-08-27,30,480.96,426.27,590.34,574.3092041015625,hard_time_exit,18,1232.35,1.232,True,bull
RELIANCE.NS,Energy,A_flat_base,2019-04-22,2019-05-07,10,605.37,589.87,636.38,605.37,stop,37,179.18,0.179,True,bull
RELIANCE.NS,Energy,B_ema_pullback,2020-08-05,2020-08-25,15,984.48,896.6,1160.23,944.0892333984376,time_stop,12,-584.69,-0.585,False,bull
RELIANCE.NS,Energy,A_flat_base,2020-09-11,2020-10-01,15,1049.38,926.93,1294.28,1008.9979248046876,time_stop,8,-423.06,-0.423,False,neutral
RELIANCE.NS,Energy,B_ema_pullback,2022-04-11,2022-04-18,4,1184.21,1153.01,1246.62,1152.545489452205,stop_gap_down,26,-923.28,-0.923,False,bull
RELIANCE.NS,Energy,A_flat_base,2023-06-19,2023-07-19,22,1180.77,1122.27,1297.76,1297.76,target_2r,18,1479.32,1.479,True,bull
RELIANCE.NS,Energy,A_flat_base,2023-07-20,2023-08-02,10,1277.29,1221.13,1389.61,1221.13,stop,13,-830.08,-0.83,False,bull
TCS.NS,IT,A_flat_base,2017-10-13,2017-11-24,30,1042.08,990.46,1145.32,1101.1610107421875,hard_time_exit,19,955.39,0.955,True,bull
TCS.NS,IT,A_flat_base,2018-01-17,2018-01-24,6,1176.87,1096.45,1337.72,1337.72,target_2r,14,1588.96,1.589,True,bull
TCS.NS,IT,A_flat_base,2018-04-23,2018-05-14,15,1407.38,1277.34,1667.45,1409.8909912109375,time_stop,8,-79.91,-0.08,False,bull
TCS.NS,IT,A_flat_base,2018-06-18,2018-07-09,16,1548.35,1416.96,1811.14,1559.269775390625,time_stop,9,-1.72,-0.002,False,bull
TCS.NS,IT,A_flat_base,2018-07-12,2018-08-01,15,1644.55,1507.93,1917.79,1639.9927978515625,time_stop,7,-131.9,-0.132,False,neutral
TCS.NS,IT,A_flat_base,2018-09-05,2018-09-14,7,1744.21,1676.34,1879.95,1676.34,stop,15,-1118.05,-1.118,False,neutral
TCS.NS,IT,A_flat_base,2019-04-16,2019-05-06,11,1768.31,1672.38,1960.17,1758.2116622243866,stop_gap_down,11,319.06,0.319,True,bull
TCS.NS,IT,A_flat_base,2020-10-06,2020-10-26,15,2392.79,2054.99,3068.38,2358.64599609375,time_stop,3,-202.43,-0.202,False,bull
TCS.NS,IT,B_ema_pullback,2020-10-27,2020-10-27,1,2371.15,2314.6,2484.25,2314.6,stop,21,-1287.55,-1.288,False,bull
TCS.NS,IT,A_flat_base,2021-05-28,2021-07-08,30,2820.35,2683.03,3094.99,2878.484130859375,hard_time_exit,7,544.5,0.544,True,bull
TCS.NS,IT,A_flat_base,2021-08-16,2021-09-06,15,3066.22,2890.52,3417.61,3417.61,target_2r,5,1305.57,1.306,True,bull
TCS.NS,IT,A_flat_base,2023-09-13,2023-10-05,15,3320.58,3105.98,3749.78,3334.21484375,time_stop,4,-45.46,-0.045,False,bull
HDFCBANK.NS,Banking,A_flat_base,2016-05-27,2016-06-16,15,272.29,260.12,296.63,267.1683349609375,time_stop,84,-530.22,-0.53,False,neutral
HDFCBANK.NS,Banking,A_flat_base,2016-09-01,2016-09-23,15,298.83,286.52,323.45,304.25537109375,time_stop,78,323.18,0.323,True,bull
HDFCBANK.NS,Banking,A_flat_base,2017-02-20,2017-04-05,30,315.81,299.59,348.26,331.9877014160156,hard_time_exit,51,726.12,0.726,True,bull
HDFCBANK.NS,Banking,A_flat_base,2017-04-24,2017-05-29,25,347.57,331.04,380.64,380.64,target_2r,63,1470.98,1.471,True,bull
HDFCBANK.NS,Banking,A_flat_base,2017-07-25,2017-08-14,15,410.82,386.97,458.51,409.9871520996094,time_stop,55,-145.81,-0.146,False,bull
HDFCBANK.NS,Banking,A_flat_base,2018-06-01,2018-06-21,15,497.35,456.45,579.16,483.1423645019531,time_stop,21,-398.36,-0.398,False,bull
HDFCBANK.NS,Banking,A_flat_base,2019-01-22,2019-01-25,4,504.4,491.37,530.47,491.37,stop,76,-1090.28,-1.09,False,bull
HDFCBANK.NS,Banking,B_ema_pullback,2020-10-28,2020-11-09,9,582.15,556.52,633.4,633.4,target_2r,36,1283.66,1.284,True,bull
HDFCBANK.NS,Banking,B_ema_pullback,2020-12-07,2020-12-07,1,651.83,644.4,666.7,644.4,stop,76,-664.68,-0.665,False,bull
HDFCBANK.NS,Banking,B_ema_pullback,2020-12-09,2020-12-10,2,652.78,644.4,669.55,652.78,stop,76,218.82,0.219,True,bull
HDFCBANK.NS,Banking,A_flat_base,2022-11-14,2022-12-02,15,776.42,716.75,895.75,773.2847290039062,time_stop,17,-153.3,-0.153,False,bull
HDFCBANK.NS,Banking,A_flat_base,2024-07-04,2024-07-05,2,869.01,828.3,950.43,828.3,stop,22,-995.62,-0.996,False,bull
INFY.NS,IT,A_flat_base,2017-08-01,2017-08-08,6,400.99,381.29,440.4,381.29,stop,51,-1104.7,-1.105,False,bull
INFY.NS,IT,A_flat_base,2017-08-18,2017-08-18,1,403.73,382.19,446.81,382.19,stop,44,-1047.76,-1.048,False,neutral
INFY.NS,IT,A_flat_base,2017-11-27,2017-12-15,15,404.86,381.07,452.44,410.9654235839844,time_stop,40,144.22,0.144,True,bull
INFY.NS,IT,A_flat_base,2018-06-18,2018-07-06,15,529.04,486.24,614.64,528.614013671875,time_stop,24,-110.22,-0.11,False,bull
INFY.NS,IT,A_flat_base,2019-10-14,2019-10-15,2,668.29,659.01,686.86,656.0417076285365,stop_gap_down,30,-467.45,-0.467,False,bull
INFY.NS,IT,A_flat_base,2020-09-15,2020-10-08,17,853.96,795.23,971.43,971.43,target_2r,17,1427.07,1.427,True,neutral
INFY.NS,IT,A_flat_base,2021-05-28,2021-07-08,30,1242.27,1154.36,1418.1,1388.786376953125,hard_time_exit,12,1306.62,1.307,True,bull
INFY.NS,IT,A_flat_base,2024-07-15,2024-08-05,15,1659.37,1542.28,1893.54,1659.37,stop,9,368.32,0.368,True,bull
ICICIBANK.NS,Banking,A_flat_base,2017-05-05,2017-06-15,30,260.18,229.77,321.01,274.43450927734375,hard_time_exit,35,398.91,0.399,True,bull
ICICIBANK.NS,Banking,A_flat_base,2018-01-16,2018-02-05,14,317.05,295.37,360.42,314.67234738554026,stop_gap_down,47,341.81,0.342,True,bull
ICICIBANK.NS,Banking,A_flat_base,2019-03-13,2019-04-04,15,374.63,340.39,443.12,375.0777893066406,time_stop,29,-87.01,-0.087,False,bull
ICICIBANK.NS,Banking,A_flat_base,2019-11-11,2019-12-20,29,472.46,445.39,526.6,526.6,target_2r,35,1334.71,1.335,True,bull
ICICIBANK.NS,Banking,B_ema_pullback,2020-11-27,2020-12-07,6,461.23,443.19,497.31,497.31,target_2r,60,1523.6,1.524,True,bull
ICICIBANK.NS,Banking,B_ema_pullback,2021-02-24,2021-02-25,2,595.51,589.07,608.4,608.4,target_2r,83,705.42,0.705,True,bull
ICICIBANK.NS,Banking,A_flat_base,2021-08-05,2021-08-26,15,694.74,648.06,788.11,677.8496704101562,time_stop,22,-471.59,-0.472,False,bull
ICICIBANK.NS,Banking,A_flat_base,2021-10-26,2021-11-16,15,804.66,710.1,993.78,741.1434326171875,time_stop,9,-671.65,-0.672,False,bull
ICICIBANK.NS,Banking,A_flat_base,2022-08-11,2022-09-02,15,840.11,767.92,984.49,851.3233642578125,time_stop,16,79.41,0.079,True,bull
ICICIBANK.NS,Banking,A_flat_base,2024-04-30,2024-05-22,15,1142.38,1031.2,1364.75,1093.1812744140625,time_stop,9,-542.79,-0.543,False,bull
ICICIBANK.NS,Banking,A_flat_base,2024-09-23,2024-10-07,10,1322.13,1216.96,1532.47,1216.96,stop,8,-941.36,-0.941,False,bull
HINDUNILVR.NS,FMCG,A_flat_base,2017-05-11,2017-06-21,30,863.32,800.19,989.58,974.3858032226562,hard_time_exit,15,1230.44,1.23,True,bull
HINDUNILVR.NS,FMCG,A_flat_base,2017-07-19,2017-08-08,15,1042.42,959.99,1207.27,1042.2503662109375,time_stop,18,-103.05,-0.103,False,bull
HINDUNILVR.NS,FMCG,A_flat_base,2018-06-01,2018-06-05,3,1422.15,1365.28,1535.89,1365.28,stop,18,-1123.66,-1.124,False,bull
HINDUNILVR.NS,FMCG,A_flat_base,2018-12-04,2018-12-24,15,1639.39,1497.72,1922.74,1592.8187255859375,time_stop,7,-426.0,-0.426,False,bull
HINDUNILVR.NS,FMCG,A_flat_base,2019-09-23,2019-11-06,30,1785.32,1612.38,2131.21,1969.4239501953125,hard_time_exit,6,971.13,0.971,True,bull
HINDUNILVR.NS,FMCG,A_flat_base,2020-02-13,2020-03-05,15,2040.64,1928.4,2265.11,2004.2593994140625,time_stop,8,-391.04,-0.391,False,neutral
HINDUNILVR.NS,FMCG,A_flat_base,2021-08-23,2021-10-04,30,2433.86,2147.07,3007.45,2488.117919921875,hard_time_exit,3,62.77,0.063,True,bull
HINDUNILVR.NS,FMCG,A_flat_base,2024-07-19,2024-08-08,15,2661.08,2461.64,3059.96,2652.79296875,time_stop,5,-141.44,-0.141,False,bull
SBIN.NS,Banking,A_flat_base,2017-03-30,2017-04-21,15,264.54,243.88,305.86,258.0569152832031,time_stop,50,-424.15,-0.424,False,bull
SBIN.NS,Banking,A_flat_base,2017-06-23,2017-06-27,2,272.24,259.61,297.51,259.61,stop,82,-1135.66,-1.136,False,bull
SBIN.NS,Banking,A_flat_base,2017-11-13,2017-12-01,15,311.04,282.95,367.21,288.5796203613281,time_stop,40,-998.42,-0.998,False,bull
SBIN.NS,Banking,A_flat_base,2018-08-10,2018-09-03,15,293.39,266.07,348.04,282.67425537109375,time_stop,37,-496.48,-0.496,False,bull
SBIN.NS,Banking,A_flat_base,2019-05-21,2019-06-11,15,319.49,281.52,395.42,320.2749328613281,time_stop,27,-78.81,-0.079,False,neutral
SBIN.NS,Banking,B_ema_pullback,2019-11-18,2019-12-06,15,299.26,274.78,348.22,299.26,stop,44,438.56,0.439,True,bull
SBIN.NS,Banking,A_flat_base,2021-01-14,2021-01-25,8,283.28,256.42,337.0,256.42,stop,37,-1093.82,-1.094,False,bull
SBIN.NS,Banking,B_ema_pullback,2021-03-09,2021-03-12,3,363.41,352.59,385.04,352.59,stop,139,-1603.98,-1.604,False,bull
SBIN.NS,Banking,B_ema_pullback,2021-06-15,2021-06-18,4,400.09,382.38,435.5,382.38,stop,54,-1056.34,-1.056,False,bull
SBIN.NS,Banking,A_flat_base,2021-11-04,2021-11-22,11,495.45,454.82,576.7,454.82,stop,27,-1197.01,-1.197,False,neutral
SBIN.NS,Banking,B_ema_pullback,2022-04-07,2022-04-25,11,475.45,457.8,510.75,457.8,stop,48,-947.2,-0.947,False,bull
SBIN.NS,Banking,A_flat_base,2024-04-26,2024-05-17,15,787.43,705.8,950.7,788.52783203125,time_stop,12,-86.83,-0.087,False,bull
SBIN.NS,Banking,A_flat_base,2024-06-04,2024-06-04,1,880.22,768.76,1103.15,768.76,stop,8,-991.68,-0.992,False,bull
BHARTIARTL.NS,Telecom,A_flat_base,2017-11-02,2017-11-16,11,468.69,414.99,576.09,414.99,stop,20,-1174.0,-1.174,False,bull
BHARTIARTL.NS,Telecom,B_ema_pullback,2017-11-20,2017-11-23,4,425.0,418.62,437.76,425.0,stop,117,270.04,0.27,True,bull
BHARTIARTL.NS,Telecom,A_flat_base,2019-12-03,2019-12-16,10,442.84,402.77,522.98,402.77,stop,28,-1221.96,-1.222,False,bull
BHARTIARTL.NS,Telecom,B_ema_pullback,2019-12-18,2020-01-20,23,427.72,399.19,484.78,484.78,target_2r,46,1868.57,1.869,True,bull
BHARTIARTL.NS,Telecom,A_flat_base,2021-01-07,2021-01-13,5,510.88,485.72,561.21,561.21,target_2r,54,1938.5,1.938,True,bull
BHARTIARTL.NS,Telecom,B_ema_pullback,2021-01-29,2021-01-29,1,555.54,533.77,599.07,533.77,stop,71,-1645.67,-1.646,False,neutral
BHARTIARTL.NS,Telecom,A_flat_base,2021-09-16,2021-10-06,15,705.83,621.66,874.16,675.7466430664062,time_stop,13,-491.08,-0.491,False,bull
BHARTIARTL.NS,Telecom,A_flat_base,2022-03-30,2022-04-21,15,746.23,682.05,874.58,719.092529296875,time_stop,17,-561.34,-0.561,False,bull
BHARTIARTL.NS,Telecom,A_flat_base,2023-06-01,2023-06-21,15,823.44,780.45,909.42,823.649658203125,time_stop,18,-96.23,-0.096,False,neutral
BHARTIARTL.NS,Telecom,A_flat_base,2023-09-18,2023-10-10,15,917.5,835.37,1081.77,935.2755126953124,time_stop,11,95.53,0.096,True,bull
BHARTIARTL.NS,Telecom,A_flat_base,2023-12-01,2023-12-21,15,1002.01,928.96,1148.1,964.4181518554688,time_stop,13,-588.69,-0.589,False,bull
BHARTIARTL.NS,Telecom,B_ema_pullback,2024-07-09,2024-07-23,10,1417.62,1386.1,1480.66,1417.62,stop,34,435.84,0.436,True,bull
