symbol,sector,entry_date,exit_date,trading_days,entry,stop_initial,stop_final,target,exit_price,exit_reason,shares,pnl,r_multiple,win,market_state,season_score,rs_vs_nifty,adx_at_entry,pullback_candles,nifty_return_pct,nifty_green
RELIANCE.NS,Energy,2019-10-22,2019-10-23,2,638.12,596.42,627.7929955153656,721.51,627.79,stop,23,-337.52,-0.338,False,bull,56.7,12.4,26.6,5,-0.5,False
TCS.NS,IT,2018-08-13,2018-08-14,2,1659.32,1622.65,1651.1942701563707,1732.67,1651.19,stop,27,-319.39,-0.319,False,bull,66.0,7.1,36.0,3,0.05,True
TCS.NS,IT,2021-08-30,2021-09-03,5,3292.2,3174.18,3295.104391712346,3528.23,3401.39,hard_time_exit,8,773.49,0.773,True,bull,66.0,11.9,39.2,3,3.7,True
TCS.NS,IT,2024-02-05,2024-02-09,5,3739.04,3542.61,3831.9415667460817,4131.89,3876.63,hard_time_exit,5,587.94,0.588,True,bull,60.0,5.5,25.7,3,-0.33,False
INFY.NS,IT,2018-08-14,2018-08-20,4,582.58,555.64,585.725325747709,636.47,571.32,stop_gap_down,37,-516.66,-0.517,False,bull,66.0,14.4,38.4,3,1.73,True
INFY.NS,IT,2020-10-07,2020-10-12,4,910.98,873.13,948.0006971762816,986.68,986.68,target_2r,26,1868.2,1.868,True,bull,52.0,24.5,39.1,3,2.3,True
INFY.NS,IT,2024-08-23,2024-08-23,1,1805.48,1721.82,1795.51394205871,1972.8,1795.51,stop,11,-209.63,-0.21,False,bull,66.0,22.2,34.4,5,0.05,True
INFY.NS,IT,2024-08-29,2024-09-03,4,1858.16,1778.86,1865.7136713170648,2016.76,1865.71,stop,12,-9.36,-0.009,False,bull,66.0,26.6,33.7,3,0.91,True
ITC.NS,FMCG,2017-06-05,2017-06-06,2,220.76,211.09,219.352225835226,240.11,219.35,stop,103,-245.0,-0.245,False,bull,64.4,13.2,38.9,3,-0.17,False
ITC.NS,FMCG,2022-04-05,2022-04-07,3,212.29,205.43,213.11352035416803,226.01,213.11,stop,145,19.41,0.019,True,bull,54.4,17.9,37.9,3,-2.29,False
ITC.NS,FMCG,2022-08-18,2022-08-19,2,265.83,257.71,265.2296624865342,282.08,265.23,stop,123,-173.84,-0.174,False,bull,50.0,6.0,40.2,3,-1.04,False
ITC.NS,FMCG,2022-09-01,2022-09-07,5,271.36,261.39,276.93840998939646,291.29,276.6,stop_gap_down,100,423.91,0.424,True,bull,50.0,10.4,36.3,3,-0.76,False
ASIANPAINT.NS,Consumer,2021-05-28,2021-06-01,3,2834.29,2681.21,2810.350259317179,3140.44,2810.35,stop,6,-243.64,-0.244,False,bull,46.7,22.5,28.6,3,1.55,True
ASIANPAINT.NS,Consumer,2023-05-30,2023-06-05,5,3055.52,2985.91,3122.4074908957737,3194.75,3122.41,stop,14,836.42,0.836,True,bull,46.7,8.1,27.8,3,-0.03,False
WIPRO.NS,IT,2017-09-01,2017-09-04,2,102.08,98.58,101.2252712711058,109.08,101.23,stop,285,-343.6,-0.344,False,neutral,66.0,5.2,42.4,4,-0.05,False
ULTRACEMCO.NS,Cement,2016-08-02,2016-08-02,1,3608.23,3471.28,3585.9984122603487,3882.12,3586.0,stop,7,-255.62,-0.256,False,bull,46.0,9.8,29.6,4,-0.16,False
ULTRACEMCO.NS,Cement,2017-03-14,2017-03-17,4,3757.47,3611.84,3873.061272131196,4048.72,3873.06,stop,6,593.55,0.594,True,bull,48.0,7.0,28.0,3,2.52,True
ULTRACEMCO.NS,Cement,2021-01-07,2021-01-13,5,5332.44,5090.61,5401.056737952207,5816.09,5498.11,hard_time_exit,4,562.69,0.563,True,bull,48.9,8.0,30.7,4,2.96,True
ULTRACEMCO.NS,Cement,2023-06-07,2023-06-12,4,8007.64,7660.56,7973.188611651419,8701.8,7973.19,stop,2,-168.9,-0.169,False,bull,46.0,7.6,27.2,3,0.01,True
TITAN.NS,Consumer,2017-03-15,2017-03-17,3,450.37,419.45,447.5964610574945,512.21,447.6,stop,32,-188.75,-0.189,False,bull,53.3,35.1,40.8,5,0.8,True
TITAN.NS,Consumer,2017-03-31,2017-03-31,1,442.91,425.39,438.88828247050066,477.95,438.89,stop,57,-329.24,-0.329,False,bull,53.3,24.8,29.8,4,0.0,False
TITAN.NS,Consumer,2018-05-02,2018-05-02,1,955.63,926.15,941.10931080814,1014.58,941.11,stop,33,-579.18,-0.579,False,bull,53.3,13.9,42.5,3,-0.2,False
TITAN.NS,Consumer,2019-04-01,2019-04-02,2,1114.3,1060.09,1090.5288197840853,1222.71,1090.53,stop,18,-527.88,-0.528,False,bull,53.3,15.3,43.9,3,1.24,True
TITAN.NS,Consumer,2021-09-01,2021-09-07,5,1902.16,1769.29,1980.164017288853,2167.91,2007.55,hard_time_exit,7,637.76,0.638,True,bull,73.3,5.4,28.4,3,1.34,True
TITAN.NS,Consumer,2022-08-03,2022-08-03,1,2374.71,2239.49,2334.749079276428,2645.16,2334.75,stop,7,-379.73,-0.38,False,bull,73.3,5.2,28.9,5,0.25,True
TITAN.NS,Consumer,2022-08-08,2022-08-10,2,2439.16,2311.08,2410.129101781641,2695.33,2410.13,stop,7,-303.22,-0.303,False,bull,73.3,6.5,33.0,5,0.79,True
TITAN.NS,Consumer,2023-04-27,2023-04-28,2,2618.63,2528.7,2606.6023399258497,2798.49,2606.6,stop,11,-232.3,-0.232,False,bull,53.3,13.1,28.8,3,1.41,True
TITAN.NS,Consumer,2023-05-29,2023-05-31,3,2721.75,2638.13,2771.2299851645325,2888.98,2771.23,stop,11,444.28,0.444,True,bull,46.7,8.9,33.0,3,0.19,True
SUNPHARMA.NS,Pharma,2018-09-03,2018-09-04,2,610.78,569.84,603.174372541026,692.65,603.17,stop,24,-282.54,-0.283,False,bull,57.3,24.0,27.9,3,-1.37,False
SUNPHARMA.NS,Pharma,2022-10-28,2022-10-28,1,967.89,939.24,957.7588227820012,1025.2,957.76,stop,34,-444.46,-0.444,False,neutral,47.6,8.7,40.3,3,0.28,True
SUNPHARMA.NS,Pharma,2022-11-25,2022-12-01,5,1002.62,956.33,1002.9689022159848,1095.2,1009.82,hard_time_exit,21,51.21,0.051,True,bull,49.5,12.3,36.8,3,1.78,True
SUNPHARMA.NS,Pharma,2024-08-21,2024-08-22,2,1744.05,1694.35,1729.805062323617,1843.45,1729.81,stop,20,-384.9,-0.385,False,bull,57.3,11.0,43.6,5,0.46,True
HCLTECH.NS,IT,2022-10-25,2022-10-25,1,899.08,854.43,892.9812739923608,988.38,892.98,stop,22,-234.17,-0.234,False,bull,52.0,6.5,25.0,3,-0.42,False
NESTLEIND.NS,FMCG,2018-04-17,2018-04-23,5,396.08,376.44,411.019126380544,435.35,411.02,stop,50,646.96,0.647,True,bull,54.4,14.8,43.1,3,0.54,True
NESTLEIND.NS,FMCG,2018-05-28,2018-05-29,2,440.01,425.95,435.9984297884185,468.13,434.46,stop_gap_down,71,-494.2,-0.494,False,bull,55.6,28.0,38.1,4,0.27,True
NESTLEIND.NS,FMCG,2018-06-11,2018-06-12,2,447.84,428.32,447.036350900499,486.89,447.04,stop,51,-140.99,-0.141,False,bull,64.4,25.7,31.3,3,0.7,True
NESTLEIND.NS,FMCG,2018-06-27,2018-06-28,2,457.86,428.77,450.33036962238816,516.03,450.33,stop,34,-356.01,-0.356,False,bull,64.4,16.5,26.3,5,-1.67,False
NESTLEIND.NS,FMCG,2019-02-08,2019-02-08,1,533.76,521.07,525.5782583403742,559.14,525.58,stop,78,-738.18,-0.738,False,bull,47.8,11.4,27.0,3,-1.14,False
TECHM.NS,IT,2017-10-11,2017-10-16,4,351.51,337.45,357.93261650100516,379.63,357.93,stop,71,356.01,0.356,True,bull,52.0,21.4,33.5,3,2.14,True
