entry,sl,risk,shares,pnl,exit_reason,date,symbol
2148.7,2048.572525,100.12747499999978,19,-1267.2999999999965,EOD Exit,2021-05-14,NEULANDLAB
774.0,744.3318250000001,29.668174999999906,67,-1273.0,EOD Exit,2021-05-17,AARTIDRUGS
59.7,55.41675,4.2832500000000024,466,-396.10000000000065,EOD Exit,2021-05-18,SUBEXLTD
28.55,26.610025,1.9399750000000004,1030,-1998.1742500000005,Stopped Out,2021-05-19,COFFEEDAY
871.2,869.643575,1.5564249999999902,114,1217.3162249999968,EOD Exit,2021-05-20,NDGL
33.95,31.5526,2.397400000000001,834,834.0,EOD Exit,2021-05-21,BANKNIFTY1
300.9,300.44865,0.4513499999999908,332,74.92409999999848,EOD Exit,2021-05-24,XELPMOC
74.9,74.78765000000001,0.11234999999999218,1335,676.1374499999891,EOD Exit,2021-05-25,BANKA
544.95,524.2125,20.737500000000068,96,1595.4000000000033,EOD Exit,2021-05-26,RAMCOSYS
38.87,36.24555,2.624449999999996,762,-297.1800000000004,EOD Exit,2021-05-27,ICICIB22
729.0,702.9440000000001,26.055999999999926,76,-1980.2559999999944,Stopped Out,2021-05-28,AMRUTANJAN
318.9,307.88747500000005,11.012524999999926,181,-1429.899999999996,EOD Exit,2021-05-31,DOLLAR
2679.0,2606.085,72.91499999999996,27,-540.0,EOD Exit,2021-06-01,EICHERMOT
287.55,280.92797500000006,6.622024999999951,302,1041.8999999999965,EOD Exit,2021-06-02,DLF
7.6,7.5886000000000005,0.011399999999999189,13157,5009.2391999999945,EOD Exit,2021-06-03,THOMASCOTT
46.8,45.881075,0.9189249999999944,2136,-1068.0,EOD Exit,2021-06-04,CUPID
40.0,34.64795,5.352049999999998,373,149.19999999999948,EOD Exit,2021-06-07,ICICIB22
5.6,5.5916,0.008399999999999963,17857,4539.495199999999,EOD Exit,2021-06-08,NORBTEAEXP
10736.5499,10720.44507515,16.104824849999204,9,1106.669799399997,EOD Exit,2021-06-09,VEEDOL
164.69,164.19334,0.49665999999999144,607,-301.4726199999948,Stopped Out,2021-06-10,AXISNIFTY
51.7,51.62245000000001,0.07754999999999512,1934,751.8908499999911,EOD Exit,2021-06-11,SOLEX
12.65,12.631025000000001,0.018974999999999298,7905,74.98919999999723,EOD Exit,2021-06-14,BCG
95.9,89.36575,6.53425,306,0.0,EOD Exit,2021-06-15,CAPTRUST
512.8,504.2425,8.557499999999948,195,-1668.7124999999899,Stopped Out,2021-06-16,LICHSGFIN
1419.35,1347.9750000000001,71.37499999999977,28,-1998.4999999999936,Stopped Out,2021-06-17,ADANIENT
23.15,23.115275,0.03472499999999812,4319,1694.971274999996,EOD Exit,2021-06-18,S&SPOWER
119.65,117.773075,1.876925,835,2266.5777249999987,EOD Exit,2021-06-21,TATAPOWER
578.05,528.955375,49.09462499999995,40,-350.0,EOD Exit,2021-06-22,GKWLIMITED
13.2,13.1802,0.01980000000000004,7575,4809.9826,EOD Exit,2021-06-23,JITFINFRA
261.75,261.357375,0.39262500000000955,382,74.99137500000182,EOD Exit,2021-06-24,HEALTHX
12.5,12.331475000000001,0.16852499999999893,8000,674.0999999999957,Stopped Out,2021-06-25,HCC
2.3,2.29655,0.003449999999999953,43478,4422.7995500000025,EOD Exit,2021-06-28,GLFL
0.9,0.8487250000000001,0.05127499999999996,39005,0.0,EOD Exit,2021-06-29,GAYAHWS
156.4,144.9822,11.4178,175,-629.999999999999,EOD Exit,2021-06-30,ROSSELLIND
27.75,25.961000000000002,1.788999999999998,1117,-279.25,EOD Exit,2021-07-01,PSUBNKBEES
0.8,0.7988000000000001,0.0011999999999999789,125000,74.99999999999868,EOD Exit,2021-07-02,SANWARIA
35.45,33.000425,2.449575000000003,816,40.79999999999768,EOD Exit,2021-07-05,BANKNIFTY1
14.7,14.328475000000001,0.37152499999999833,5383,999.7737749999955,Stopped Out,2021-07-06,SGL
1.15,1.148275,0.0017249999999999766,86956,4422.7995500000025,EOD Exit,2021-07-07,RMDRIP
4080.0,4024.5041750000005,55.49582499999951,24,-168.0,EOD Exit,2021-07-08,BAJAJ-AUTO
18.45,18.422325,0.027674999999998562,5420,5223.999250000002,EOD Exit,2021-07-09,JITFINFRA
5.8,5.791300000000001,0.008699999999999264,17241,74.99399999999366,EOD Exit,2021-07-12,IL&FSENGG
111.5,107.6383,3.861699999999999,517,-1912.9000000000015,EOD Exit,2021-07-13,VINEETLAB
5.0,4.842725,0.15727500000000028,12716,999.9544500000018,Stopped Out,2021-07-14,RHFL
568.0,549.1750000000001,18.824999999999932,106,-636.0,EOD Exit,2021-07-15,DBL
0.95,0.9485750000000001,0.0014249999999998986,105263,2706.5991749999966,EOD Exit,2021-07-16,RADAAN
766.6,751.17155,15.428449999999998,129,-1990.2700499999996,Stopped Out,2021-07-19,AXISBANK
1369.9,1334.09585,35.80415000000016,55,-643.5000000000025,EOD Exit,2021-07-20,ADANIENT
1291.2,1228.155,63.04500000000007,31,432.4500000000014,EOD Exit,2021-07-22,BAJAJFINSV
398.3,386.71905000000004,11.580949999999973,172,-180.60000000000196,EOD Exit,2021-07-23,BIOCON
339.95,326.5095,13.440499999999986,148,-584.5999999999983,EOD Exit,2021-07-26,PANACEABIO
0.75,0.69895,0.05105000000000004,39177,1958.8500000000017,EOD Exit,2021-07-27,VIVIDHA
2.85,2.8457250000000003,0.004274999999999807,35087,1829.3963249999981,EOD Exit,2021-07-28,DCMFINSERV
565.25,530.5529750000001,34.69702499999994,57,-940.5,EOD Exit,2021-07-29,RAMCOSYS
0.9,0.8986500000000001,0.0013499999999999623,111111,5630.599249999997,EOD Exit,2021-07-30,RADAAN
50.35,48.577025,1.7729750000000024,1128,1522.8000000000015,EOD Exit,2021-08-02,IDFCFIRSTB
128.25,128.057625,0.1923749999999984,779,74.83387499999938,EOD Exit,2021-08-03,IZMO
26.22,24.463250000000002,1.7567499999999967,1138,-216.2199999999974,EOD Exit,2021-08-04,CPSEETF
5.35,5.341975,0.008024999999999949,18691,2411.4936249999996,EOD Exit,2021-08-05,TCIFINANCE
