entry,sl,risk,shares,pnl,exit_reason,date,symbol
871.2,864.666,6.533999999999992,114,1489.7519999999852,Hit Full Target,2021-05-20,NDGL
33.95,33.695375000000006,0.2546249999999972,2945,1499.7412499999837,Hit Full Target,2021-05-21,BANKNIFTY1
300.9,298.64324999999997,2.256750000000011,332,1498.4819999999884,Hit Full Target,2021-05-24,XELPMOC
74.9,74.33825000000002,0.5617499999999893,1335,1201.4999999999886,EOD Exit,2021-05-25,BANKA
38.87,38.578475,0.29152500000000003,2572,-749.8023000000001,Stopped Out,2021-05-27,ICICIB22
729.0,723.5325,5.467499999999973,137,-749.0474999999963,Stopped Out,2021-05-28,AMRUTANJAN
2679.0,2658.9075000000003,20.092499999999745,37,-743.4224999999906,Stopped Out,2021-06-01,EICHERMOT
287.55,285.39337500000005,2.1566249999999627,347,1496.697749999994,Hit Full Target,2021-06-02,DLF
7.6,7.543,0.056999999999999496,13157,1499.8979999999867,Hit Full Target,2021-06-03,THOMASCOTT
40.0,39.7,0.29999999999999716,2500,999.9999999999965,EOD Exit,2021-06-07,ICICIB22
5.6,5.558,0.041999999999999815,17857,1499.9879999999935,Hit Full Target,2021-06-08,NORBTEAEXP
10736.5499,10656.02577575,80.52412424999966,9,1449.4342364999939,Hit Full Target,2021-06-09,VEEDOL
164.69,163.454825,1.2351749999999981,607,-72.84000000000276,EOD Exit,2021-06-10,AXISNIFTY
51.7,51.312250000000006,0.38774999999999693,1934,1353.7999999999918,EOD Exit,2021-06-11,SOLEX
12.65,12.555125,0.09487500000000004,7905,1499.9737499999867,Hit Full Target,2021-06-14,BCG
23.15,22.976375,0.1736249999999977,4319,1499.7727499999955,Hit Full Target,2021-06-18,S&SPOWER
13.2,13.100999999999999,0.0990000000000002,7575,1499.8499999999894,Hit Full Target,2021-06-23,JITFINFRA
261.75,259.786875,1.963124999999991,382,1499.827499999993,Hit Full Target,2021-06-24,HEALTHX
2.3,2.28275,0.017249999999999766,43478,1499.9909999999988,Hit Full Target,2021-06-28,GLFL
27.75,27.541875,0.208124999999999,3603,-749.8743749999965,Stopped Out,2021-07-01,PSUBNKBEES
0.8,0.794,0.006000000000000005,125000,1499.9999999999875,Hit Full Target,2021-07-02,SANWARIA
35.45,35.184125,0.2658750000000012,2820,140.99999999999199,EOD Exit,2021-07-05,BANKNIFTY1
1.15,1.141375,0.008624999999999883,86956,1499.9909999999988,Hit Full Target,2021-07-07,RMDRIP
4080.0,4049.4,30.59999999999991,24,-168.0,EOD Exit,2021-07-08,BAJAJ-AUTO
18.45,18.311625,0.13837499999999991,5420,1499.984999999999,Hit Full Target,2021-07-09,JITFINFRA
5.8,5.7565,0.04349999999999987,17241,0.0,EOD Exit,2021-07-12,IL&FSENGG
0.95,0.942875,0.007124999999999937,105263,1499.9977499999868,Hit Full Target,2021-07-16,RADAAN
766.6,760.8505,5.749500000000012,130,-747.4350000000015,Stopped Out,2021-07-19,AXISBANK
1369.9,1359.6257500000002,10.274249999999938,72,-739.7459999999955,Stopped Out,2021-07-20,ADANIENT
2.85,2.828625,0.021374999999999922,35087,1499.9692499999944,Hit Full Target,2021-07-28,DCMFINSERV
0.9,0.8932500000000001,0.006749999999999923,111111,1499.9984999999951,Hit Full Target,2021-07-30,RADAAN
128.25,127.28812500000001,0.961874999999992,779,1498.6012499999877,Hit Full Target,2021-08-03,IZMO
26.22,26.02335,0.19664999999999822,3813,-749.8264499999932,Stopped Out,2021-08-04,CPSEETF
5.35,5.309875,0.040124999999999744,18691,1499.9527499999904,Hit Full Target,2021-08-05,TCIFINANCE
1.6,1.588,0.01200000000000001,62500,1499.9999999999875,Hit Full Target,2021-08-06,SHRENIK
13.5,13.398750000000001,0.10124999999999851,7407,-749.958749999989,Stopped Out,2021-08-09,MANUGRAPH
18.0,17.865000000000002,0.134999999999998,5555,1499.8499999999976,Hit Full Target,2021-08-10,SETCO
4.9,4.863250000000001,0.036749999999999616,20408,1499.9879999999844,Hit Full Target,2021-08-11,TCIFINANCE
333.5,330.99875000000003,2.5012499999999704,299,-747.8737499999911,Stopped Out,2021-08-12,HNGSNGBEES
