date,symbol,is_fo,gap_pct,entry,sl,risk,shares,pnl,exit_reason
2021-05-14,NEULANDLAB,False,-7.043624458012558,2148.7,2051.65,97.04999999999973,20,-1940.9999999999945,Stopped Out
2021-05-17,AARTIDRUGS,False,-6.422018348623854,774.0,745.45,28.549999999999955,70,-1330.0,EOD Exit
2021-05-18,SUBEXLTD,False,-8.064516129032258,59.7,55.5,4.200000000000003,476,-404.6000000000007,EOD Exit
2021-05-19,COFFEEDAY,False,-6.6549912434325815,28.55,26.65,1.9000000000000021,1052,-1998.8000000000022,Stopped Out
2021-05-20,NDGL,False,-4.824609332313406,871.2,870.95,0.25,114,42.75,Hit Full Target
2021-05-21,BANKNIFTY1,False,-6.006541778174259,33.95,31.6,2.3500000000000014,851,851.0,EOD Exit
2021-05-24,MIDSELIETF,False,-5.574516496018185,8.88,8.3,0.5800000000000001,3448,-68.96000000000465,EOD Exit
2021-05-25,AMBICAAGAR,False,-4.8872180451127845,26.45,25.3,1.1499999999999986,1739,-1999.8499999999976,EOD Exit
2021-05-26,RAMCOSYS,False,-8.083100558659211,544.95,525.0,19.950000000000045,100,2992.500000000007,Hit Full Target
2021-05-27,ICICIB22,False,-6.10450077599586,38.87,36.3,2.5700000000000003,778,-303.4200000000004,EOD Exit
2021-05-28,AMRUTANJAN,False,-7.423236241699,729.0,704.0,25.0,80,-2000.0,Stopped Out
2021-05-31,DOLLAR,False,-8.561444379732084,318.9,308.35,10.549999999999955,189,-1493.0999999999958,EOD Exit
2021-06-01,EICHERMOT,True,-2.471834538422738,2679.0,2610.0,69.0,28,-560.0,EOD Exit
2021-06-02,DLF,True,-2.0710059171597592,287.55,281.35,6.199999999999989,322,1110.8999999999965,EOD Exit
2021-06-03,SHEMAROO,False,-4.969879518072295,130.15,126.2,3.950000000000003,506,-581.9000000000028,EOD Exit
2021-06-04,CUPID,False,-8.000000000000007,46.8,45.95,0.8499999999999943,2136,-1068.0,EOD Exit
2021-06-07,ICICIB22,False,-12.9671432154502,40.0,34.7,5.299999999999997,377,150.79999999999947,EOD Exit
2021-06-08,DYNAMATECH,False,-5.478266657791384,1457.85,1382.05,75.79999999999995,26,367.90000000000236,EOD Exit
2021-06-09,KIOCL,False,-4.899656481648892,284.0,263.0,21.0,95,95.0,EOD Exit
2021-06-10,AXISNIFTY,False,-8.214365380325669,164.69,164.44,0.25,607,-151.75,Stopped Out
2021-06-11,TFL,False,-4.255319148936174,4.85,4.5,0.34999999999999964,5714,-285.69999999999897,EOD Exit
2021-06-14,BVCL,False,-4.6808510638297935,23.5,22.4,1.1000000000000014,1818,0.0,EOD Exit
2021-06-15,CAPTRUST,False,-5.546384945526576,95.9,89.5,6.400000000000006,312,0.0,EOD Exit
2021-06-16,LICHSGFIN,True,-2.8177113283496347,512.8,505.0,7.7999999999999545,195,-1520.9999999999911,Stopped Out
