entry,sl,risk,shares,pnl,exit_reason,date,symbol
2148.7,2047.5467,101.15329999999972,19,-1267.2999999999965,EOD Exit,2021-05-14,NEULANDLAB
774.0,743.9591,30.040899999999965,66,-1254.0,EOD Exit,2021-05-17,AARTIDRUGS
59.7,55.389,4.311,463,-393.55000000000064,EOD Exit,2021-05-18,SUBEXLTD
28.55,26.5967,1.9533000000000023,1023,-1998.2259000000024,Stopped Out,2021-05-19,COFFEEDAY
871.2,869.2081000000001,1.991899999999987,114,340.61489999999776,Hit Target 2,2021-05-20,NDGL
33.95,31.536800000000003,2.4132,828,828.0,EOD Exit,2021-05-21,BANKNIFTY1
300.9,300.29819999999995,0.6018000000000256,332,299.6964000000128,Hit Target 2,2021-05-24,XELPMOC
74.9,74.7502,0.14979999999999905,1335,300.04939999999806,Hit Target 2,2021-05-25,BANKA
544.95,523.95,21.0,95,3003.0,Hit Target 2,2021-05-26,RAMCOSYS
38.87,36.227399999999996,2.6426000000000016,756,-294.84000000000043,EOD Exit,2021-05-27,ICICIB22
729.0,702.592,26.408000000000015,75,-1980.6000000000013,Stopped Out,2021-05-28,AMRUTANJAN
318.9,307.73330000000004,11.166699999999935,179,-1414.0999999999958,EOD Exit,2021-05-31,DOLLAR
2679.0,2604.78,74.2199999999998,26,-520.0,EOD Exit,2021-06-01,EICHERMOT
287.55,280.7873,6.762699999999995,295,1017.7499999999966,EOD Exit,2021-06-02,DLF
7.6,7.5847999999999995,0.015200000000000102,13157,299.987200000002,Hit Target 2,2021-06-03,THOMASCOTT
46.8,45.8581,0.9418999999999969,2123,-1061.5,EOD Exit,2021-06-04,CUPID
40.0,34.6306,5.369399999999999,372,148.79999999999947,EOD Exit,2021-06-07,ICICIB22
5.6,5.5888,0.011199999999999655,17857,300.0031999999908,Hit Target 2,2021-06-08,NORBTEAEXP
10736.5499,10715.0768002,21.473099799999545,9,300.62339719999363,Hit Target 2,2021-06-09,VEEDOL
164.69,164.11112,0.5788799999999981,607,-351.3801599999988,Stopped Out,2021-06-10,AXISNIFTY
