open,high,low,close,volume,timestamp
935.0,940.0,929.05,931.0,1836035.0,1683776700.0
930.45,931.8,921.0,922.2,824170.0,1683777000.0
922.0,922.75,918.0,919.55,648840.0,1683777300.0
919.15,925.2,918.0,920.0,445755.0,1683777600.0
920.35,923.4,918.15,918.85,299665.0,1683777900.0
918.25,919.2,915.2,917.05,493895.0,1683778200.0
917.0,918.1,913.2,914.25,433910.0,1683778500.0
914.25,916.85,914.25,916.7,142440.0,1683778800.0
916.4,917.55,914.25,914.85,169105.0,1683779100.0
914.85,914.85,911.45,912.55,337190.0,1683779400.0
912.55,912.55,909.2,910.6,315690.0,1683779700.0
911.0,914.25,909.6,913.2,240035.0,1683780000.0
913.1,913.15,909.85,910.05,223200.0,1683780300.0
910.05,911.95,909.0,911.0,189155.0,1683780600.0
911.0,912.0,910.2,911.4,111065.0,1683780900.0
911.45,911.5,909.8,910.45,161780.0,1683781200.0
910.55,912.4,910.05,912.4,141960.0,1683781500.0
912.0,913.0,910.8,912.8,180975.0,1683781800.0
912.4,912.8,910.5,911.45,96085.0,1683782100.0
911.45,912.2,910.95,911.8,58930.0,1683782400.0
912.0,912.0,909.85,910.9,159760.0,1683782700.0
910.9,911.0,909.75,910.25,88010.0,1683783000.0
910.25,911.4,910.2,910.4,53790.0,1683783300.0
910.5,911.7,910.0,911.4,72680.0,1683783600.0
911.4,911.8,910.6,911.25,46880.0,1683783900.0
911.4,911.5,910.8,911.5,52090.0,1683784200.0
911.1,913.0,910.8,912.6,111940.0,1683784500.0
912.75,912.8,912.0,912.25,57385.0,1683784800.0
912.25,912.5,910.55,911.0,100630.0,1683785100.0
911.0,911.4,910.4,911.05,74800.0,1683785400.0
911.05,911.9,911.0,911.9,65175.0,1683785700.0
911.4,912.4,911.3,912.25,63170.0,1683786000.0
912.2,912.45,911.85,912.4,94890.0,1683786300.0
912.4,912.4,911.2,911.6,64865.0,1683786600.0
911.6,911.8,911.0,911.3,45595.0,1683786900.0
911.2,911.8,910.5,911.45,85595.0,1683787200.0
911.45,911.6,911.0,911.0,64510.0,1683787500.0
911.05,911.35,911.0,911.35,84995.0,1683787800.0
911.35,911.35,909.55,910.05,188535.0,1683788100.0
910.05,910.85,910.0,910.05,70235.0,1683788400.0
910.2,910.6,910.0,910.15,65880.0,1683788700.0
910.1,910.5,909.4,909.8,93405.0,1683789000.0
909.8,910.35,909.2,910.0,97540.0,1683789300.0
909.7,910.3,909.45,910.05,80420.0,1683789600.0
910.05,911.0,909.8,910.05,90140.0,1683789900.0
910.05,910.4,909.8,910.0,63310.0,1683790200.0
910.0,910.5,909.8,910.05,63265.0,1683790500.0
910.05,910.2,909.1,909.4,154130.0,1683790800.0
909.4,909.6,905.0,907.6,373895.0,1683791100.0
907.8,907.95,906.4,906.4,109880.0,1683791400.0
906.0,907.4,905.7,906.8,123345.0,1683791700.0
906.6,907.0,906.0,906.85,83570.0,1683792000.0
906.8,908.75,906.8,908.0,145995.0,1683792300.0
908.0,908.4,908.0,908.0,49710.0,1683792600.0
908.0,908.0,906.75,907.55,48795.0,1683792900.0
907.8,908.0,907.4,907.65,50955.0,1683793200.0
907.65,908.2,907.6,908.0,69590.0,1683793500.0
907.85,909.8,907.85,909.25,91525.0,1683793800.0
909.6,910.25,909.15,909.85,101895.0,1683794100.0
910.1,912.25,909.8,911.75,218525.0,1683794400.0
911.75,912.0,909.0,910.0,105440.0,1683794700.0
910.1,910.8,909.45,910.0,44405.0,1683795000.0
910.0,910.2,908.65,909.2,71955.0,1683795300.0
909.55,909.6,909.0,909.4,34605.0,1683795600.0
909.4,910.0,909.05,909.6,66830.0,1683795900.0
909.55,909.8,909.1,909.55,144285.0,1683796200.0
909.55,909.6,907.05,907.8,181775.0,1683796500.0
907.85,908.0,906.4,906.8,107900.0,1683796800.0
906.8,908.0,906.8,907.65,197720.0,1683797100.0
907.65,907.8,906.5,906.65,139405.0,1683797400.0
906.7,906.8,905.6,906.0,247215.0,1683797700.0
906.0,907.0,905.75,906.65,341765.0,1683798000.0
906.6,907.6,906.3,906.8,432015.0,1683798300.0
906.8,906.9,905.6,906.55,397435.0,1683798600.0
906.55,906.6,905.4,905.6,228700.0,1683798900.0
