Datetime,Open,High,Low,Close,Volume
2026-02-09 03:45:00+00:00,26885.0,26940.0,26660.0,26700.0,0
2026-02-09 03:50:00+00:00,26655.0,26815.0,26620.0,26800.0,1133
2026-02-09 03:55:00+00:00,26825.0,26855.0,26700.0,26705.0,837
2026-02-09 04:00:00+00:00,26700.0,26755.0,26650.0,26665.0,654
2026-02-09 04:05:00+00:00,26685.0,26700.0,26560.0,26560.0,1288
2026-02-09 04:10:00+00:00,26575.0,26595.0,26435.0,26530.0,2206
2026-02-09 04:15:00+00:00,26515.0,26525.0,26460.0,26495.0,635
2026-02-09 04:20:00+00:00,26500.0,26520.0,26445.0,26510.0,996
2026-02-09 04:25:00+00:00,26510.0,26650.0,26480.0,26580.0,1970
2026-02-09 04:30:00+00:00,26585.0,26680.0,26560.0,26650.0,727
2026-02-09 04:35:00+00:00,26625.0,26850.0,26625.0,26805.0,4808
2026-02-09 04:40:00+00:00,26805.0,26850.0,26800.0,26820.0,800
2026-02-09 04:45:00+00:00,26830.0,26890.0,26805.0,26840.0,1195
2026-02-09 04:50:00+00:00,26840.0,26860.0,26820.0,26840.0,375
2026-02-09 04:55:00+00:00,26840.0,26890.0,26840.0,26890.0,431
2026-02-09 05:00:00+00:00,26890.0,26910.0,26845.0,26885.0,949
2026-02-09 05:05:00+00:00,26885.0,26885.0,26845.0,26870.0,332
2026-02-09 05:10:00+00:00,26860.0,26870.0,26850.0,26870.0,344
2026-02-09 05:15:00+00:00,26860.0,26870.0,26845.0,26865.0,236
2026-02-09 05:20:00+00:00,26855.0,26935.0,26855.0,26920.0,717
2026-02-09 05:25:00+00:00,26925.0,26980.0,26920.0,26975.0,2095
2026-02-09 05:30:00+00:00,26965.0,27115.0,26955.0,27100.0,1147
2026-02-09 05:35:00+00:00,27090.0,27150.0,27030.0,27095.0,953
2026-02-09 05:40:00+00:00,27075.0,27115.0,27075.0,27100.0,645
2026-02-09 05:45:00+00:00,27100.0,27155.0,27095.0,27130.0,460
2026-02-09 05:50:00+00:00,27120.0,27130.0,27085.0,27090.0,273
2026-02-09 05:55:00+00:00,27100.0,27150.0,27085.0,27150.0,466
2026-02-09 06:00:00+00:00,27150.0,27170.0,27120.0,27130.0,1882
2026-02-09 06:05:00+00:00,27120.0,27155.0,27120.0,27140.0,898
2026-02-09 06:10:00+00:00,27140.0,27145.0,27005.0,27070.0,2426
2026-02-09 06:15:00+00:00,27050.0,27080.0,26910.0,26925.0,1723
2026-02-09 06:20:00+00:00,26920.0,27015.0,26920.0,26930.0,348
2026-02-09 06:25:00+00:00,26930.0,26965.0,26910.0,26950.0,352
2026-02-09 06:30:00+00:00,26950.0,27075.0,26940.0,27055.0,463
2026-02-09 06:35:00+00:00,27045.0,27065.0,27045.0,27050.0,134
2026-02-09 06:40:00+00:00,27065.0,27130.0,27045.0,27110.0,501
2026-02-09 06:45:00+00:00,27095.0,27125.0,27055.0,27055.0,431
2026-02-09 06:50:00+00:00,27060.0,27075.0,27030.0,27065.0,242
