Loading instrument list from /Users/jithendrabethi/Desktop/my_projects/Project Nemesis/experiments/nse_movers/dhan_instruments.csv...
[504/2730] Downloading AGI... OK (88255 rows)
[505/2730] Downloading OMAXAUTO... OK (87354 rows)
[506/2730] Downloading PITTIENG... OK (92510 rows)
[507/2730] Downloading SBGLP... OK (59084 rows)
[508/2730] Downloading GLOBAL... OK (75176 rows)
[509/2730] Downloading BTML... OK (58648 rows)
[510/2730] Downloading UNOMINDA... OK (88305 rows)
[511/2730] Downloading IZMO... OK (90036 rows)
[512/2730] Downloading NSLNISP... OK (58715 rows)
[513/2730] Downloading NINSYS... OK (57701 rows)
[514/2730] Downloading TIMKEN... OK (92548 rows)
[515/2730] Downloading HUBTOWN... OK (81608 rows)
[516/2730] Downloading CTE... OK (86574 rows)
[517/2730] Downloading TIIL... OK (92271 rows)
[518/2730] Downloading HDFCBSE500... OK (59207 rows)
[519/2730] Downloading HDFCSML250... OK (59302 rows)
[520/2730] Downloading HDFCMID150... OK (58686 rows)
[521/2730] Downloading HINDZINC... OK (92721 rows)
[522/2730] Downloading TVSSRICHAK... OK (92270 rows)
[523/2730] Downloading REDINGTON... OK (92714 rows)
[524/2730] Downloading PGIL... OK (86393 rows)
[525/2730] Downloading ORIENTBELL... OK (91970 rows)
[526/2730] Downloading GOLDETF... OK (58773 rows)
[527/2730] Downloading VIYASH... OK (92706 rows)
[528/2730] Downloading PFC... OK (92739 rows)
[529/2730] Downloading FSL... OK (92722 rows)
[530/2730] Downloading OSWALSEEDS... OK (58981 rows)
[531/2730] Downloading INDIANB... OK (92735 rows)
[532/2730] Downloading TTL... OK (89578 rows)
[533/2730] Downloading TFL... OK (79512 rows)
[534/2730] Downloading SMSPHARMA... OK (92450 rows)
[535/2730] Downloading HSCL... OK (87638 rows)
[536/2730] Downloading GANESHHOU... OK (90358 rows)
[537/2730] Downloading ORIENTALTL... OK (87009 rows)
[538/2730] Downloading APOLLOPIPE... OK (92547 rows)
[539/2730] Downloading IDEA... OK (92722 rows)
[540/2730] Downloading POCL... OK (58709 rows)
[541/2730] Downloading AMDIND... OK (90791 rows)
[542/2730] Downloading GODREJAGRO... OK (92580 rows)
[543/2730] Downloading RAJTV... OK (75799 rows)
[544/2730] Downloading PAGEIND... OK (92541 rows)
[545/2730] Downloading ASTRAL... OK (92609 rows)
[546/2730] Downloading SANOFI... OK (91768 rows)
[547/2730] Downloading LAOPALA... OK (92537 rows)
[548/2730] Downloading GOLDBEES... OK (92640 rows)
[549/2730] Downloading JKTYRE... OK (92615 rows)
[550/2730] Downloading NAHARSPING... OK (77747 rows)
[551/2730] Downloading NAHARPOLY... OK (92285 rows)
[552/2730] Downloading EMBDL... OK (300 rows)
[553/2730] Downloading LEXUS... OK (57061 rows)
[554/2730] Downloading KIRLFER... OK (46705 rows)
[555/2730] Downloading DIVGIITTS... OK (58287 rows)
[556/2730] Downloading HLVLTD... OK (81016 rows)
[557/2730] Downloading GOKULAGRO... OK (86120 rows)
[558/2730] Downloading THEMISMED... OK (86037 rows)
[559/2730] Downloading NCLIND... OK (92506 rows)
[560/2730] Downloading BALAMINES... OK (92590 rows)
[561/2730] Downloading BANSWRAS... OK (89975 rows)
[562/2730] Downloading ABSLLIQUID... OK (51208 rows)
[563/2730] Downloading ICRA... OK (91703 rows)
[564/2730] Downloading GOLDBETA... OK (91788 rows)
[565/2730] Downloading DISHTV... OK (88105 rows)
[566/2730] Downloading NDLVENTURE... OK (86510 rows)
[567/2730] Downloading BIRLANU... OK (92450 rows)
[568/2730] Downloading PHOENIXLTD... OK (92546 rows)
[569/2730] Downloading AROGRANITE... OK (86984 rows)
[570/2730] Downloading ZENITHSTL... OK (72962 rows)
[571/2730] Downloading BFUTILITIE... OK (92572 rows)
[572/2730] Downloading SRHHYPOLTD... OK (92280 rows)
[573/2730] Downloading PSUBNKIETF... OK (57914 rows)
[574/2730] Downloading FORTIS... OK (92639 rows)
[575/2730] Downloading ALPHAGEO... OK (92172 rows)
[576/2730] Downloading GSLSU... OK (57774 rows)
[577/2730] Downloading WEBELSOLAR... OK (89018 rows)
[578/2730] Downloading TGBHOTELS... OK (74935 rows)
[579/2730] Downloading CHEMBOND... OK (91944 rows)
[580/2730] Downloading HILTON... OK (82305 rows)
[581/2730] Downloading SANCO... OK (41512 rows)
[582/2730] Downloading INSECTICID... OK (92355 rows)
[583/2730] Downloading KMSUGAR... OK (87475 rows)
[584/2730] Downloading JSWDULUX... OK (92315 rows)
[585/2730] Downloading NAVINFLUOR... OK (92609 rows)
[586/2730] Downloading GUJAPOLLO... OK (90296 rows)
[587/2730] Downloading GOACARBON... OK (90687 rows)
[588/2730] Downloading NAGREEKEXP... OK (86179 rows)
[589/2730] Downloading TIMETECHNO... OK (92568 rows)
[590/2730] Downloading HGS... OK (84710 rows)
[591/2730] Downloading ACCURACY... OK (90390 rows)
[592/2730] Downloading DLF... OK (92669 rows)
[593/2730] Downloading AXSENSEX... OK (55146 rows)
[594/2730] Downloading ADVANIHOTR... OK (91656 rows)
[595/2730] Downloading 011NSETEST... OK (1 rows)
[596/2730] Downloading 021NSETEST... OK (1 rows)
[597/2730] Downloading 031NSETEST... OK (1 rows)
[598/2730] Downloading 041NSETEST... OK (1 rows)
[599/2730] Downloading WINSOME... OK (24674 rows)
[600/2730] Downloading 051NSETEST... OK (1 rows)
[601/2730] Downloading IDBI... OK (92695 rows)
[602/2730] Downloading NELCAST... OK (92427 rows)
[603/2730] Downloading 061NSETEST... OK (1 rows)
[604/2730] Downloading 071NSETEST... OK (1 rows)
[605/2730] Downloading V2RETAIL... OK (86484 rows)
[606/2730] Downloading 081NSETEST... OK (1 rows)
[607/2730] Downloading 091NSETEST... OK (1 rows)
[608/2730] Downloading 101NSETEST... OK (1 rows)
[609/2730] Downloading 111NSETEST... OK (1 rows)
[610/2730] Downloading TARMAT... OK (91102 rows)
[611/2730] Downloading 121NSETEST... OK (1 rows)
[612/2730] Downloading 131NSETEST... OK (1 rows)
[613/2730] Downloading 141NSETEST... OK (1 rows)
[614/2730] Downloading 151NSETEST... OK (1 rows)
[615/2730] Downloading 161NSETEST... OK (1 rows)
[616/2730] Downloading LOWVOL... OK (49902 rows)
[617/2730] Downloading SPARC... OK (88518 rows)
[618/2730] Downloading SIGMAADV... OK (78527 rows)
[619/2730] Downloading ADSL... OK (92428 rows)
[620/2730] Downloading IFBAGRO... OK (91854 rows)
[621/2730] Downloading WSI... OK (57674 rows)
[622/2730] Downloading DECCANCE... OK (92329 rows)
[623/2730] Downloading VIPCLOTHNG... OK (82377 rows)
[624/2730] Downloading ALPA... OK (88628 rows)
[625/2730] Downloading IFBIND... OK (92406 rows)
[626/2730] Downloading OMAXE... OK (87893 rows)
[627/2730] Downloading GOLD1... OK (92177 rows)
[628/2730] Downloading REPL... OK (91730 rows)
[629/2730] Downloading FLFL... OK (51651 rows)
[630/2730] Downloading USK... OK (56766 rows)
[631/2730] Downloading ASIANTILES... OK (92592 rows)
[632/2730] Downloading AKI... OK (55271 rows)
[633/2730] Downloading CENTRALBK... OK (92666 rows)
[634/2730] Downloading SAHYADRI... OK (56730 rows)
[635/2730] Downloading KDDL... OK (90108 rows)
[636/2730] Downloading IFCI... OK (92624 rows)
[637/2730] Downloading KPRMILL... OK (92573 rows)
[638/2730] Downloading TAKE... OK (91401 rows)
[639/2730] Downloading PURVA... OK (83813 rows)
[640/2730] Downloading LAL... OK (55060 rows)
[641/2730] Downloading CIEINDIA... OK (92526 rows)
[642/2730] Downloading GSEC10YEAR... OK (48987 rows)
[643/2730] Downloading RBA... OK (88278 rows)
[644/2730] Downloading NAGREEKCAP... OK (73718 rows)
[645/2730] Downloading MOTILALOFS... OK (92602 rows)
[646/2730] Downloading INDOWIND... OK (82146 rows)
[647/2730] Downloading MAGNUM... OK (84753 rows)
[648/2730] Downloading CSBBANK... OK (92536 rows)
[649/2730] Downloading SHIVAMILLS... OK (85277 rows)
[650/2730] Downloading KSCL... OK (92567 rows)
[651/2730] Downloading POWERGRID... OK (92708 rows)
[652/2730] Downloading CENTUM... OK (87081 rows)
[653/2730] Downloading CCCL... OK (51674 rows)
[654/2730] Downloading SUPREMEINF... OK (50605 rows)
[655/2730] Downloading MAANALU... OK (88122 rows)
[656/2730] Downloading PSUBNKBEES... OK (92432 rows)
[657/2730] Downloading BAJAJELEC... OK (91802 rows)
[658/2730] Downloading CERA... OK (92305 rows)
[659/2730] Downloading DELTACORP... OK (92647 rows)
[660/2730] Downloading ENERGYDEV... OK (86702 rows)
[661/2730] Downloading AVALON... OK (56760 rows)
[662/2730] Downloading PSUBANK... OK (90976 rows)
[663/2730] Downloading BLAL... OK (55914 rows)
[664/2730] Downloading RELIGARE... OK (92591 rows)
[665/2730] Downloading MOGSEC... OK (84357 rows)
[666/2730] Downloading BVCL... OK (87182 rows)
[667/2730] Downloading ASTERDM... OK (92591 rows)
[668/2730] Downloading ADANIPORTS... OK (92710 rows)
[669/2730] Downloading SILVERBETA... OK (56531 rows)
[670/2730] Downloading EDELWEISS... OK (92628 rows)
[671/2730] Downloading INDHOTEL... OK (92686 rows)
[672/2730] Downloading SVLL... OK (50722 rows)
[673/2730] Downloading KOLTEPATIL... OK (92565 rows)
[674/2730] Downloading RGL... OK (92017 rows)
[675/2730] Downloading KAUSHALYA... OK (78613 rows)
[676/2730] Downloading COLPAL... OK (92649 rows)
[677/2730] Downloading JYOTHYLAB... OK (92562 rows)
[678/2730] Downloading INDIACEM... OK (92623 rows)
[679/2730] Downloading MADHAV... OK (80686 rows)
[680/2730] Downloading KALYANIFRG... OK (81390 rows)
[681/2730] Downloading RHL... OK (54495 rows)
[682/2730] Downloading HITECHCORP... OK (85924 rows)
[683/2730] Downloading TARIL... OK (92437 rows)
[684/2730] Downloading ECLERX... OK (87893 rows)
[685/2730] Downloading KIRLPNU... OK (56312 rows)
[686/2730] Downloading BRIGADE... OK (92554 rows)
[687/2730] Downloading BGRENERGY... OK (90317 rows)
[688/2730] Downloading MANAKSIA... OK (92341 rows)
[689/2730] Downloading ARIES... OK (92437 rows)
[690/2730] Downloading PPAP... OK (90992 rows)
[691/2730] Downloading INDIAGLYCO... OK (92571 rows)
[692/2730] Downloading DVL... OK (92323 rows)
[693/2730] Downloading PATINTLOG... OK (86939 rows)
[694/2730] Downloading UJJIVANSFB... OK (92599 rows)
[695/2730] Downloading LICNFNHGP... OK (86021 rows)
[696/2730] Downloading AMBIKCO... OK (92467 rows)
[697/2730] Downloading BIRLAMONEY... OK (91935 rows)
[698/2730] Downloading KAVDEFENCE... OK (73189 rows)
[699/2730] Downloading CEATLTD... OK (92566 rows)
[700/2730] Downloading RPOWER... OK (86983 rows)
[701/2730] Downloading JKIL... OK (92496 rows)
[702/2730] Downloading CORDSCABLE... OK (77632 rows)
[703/2730] Downloading ONMOBILE... OK (92556 rows)
[704/2730] Downloading KNRCON... OK (92562 rows)
[705/2730] Downloading INDIANHUME... OK (92390 rows)
[706/2730] Downloading BANG... OK (86292 rows)
[707/2730] Downloading VIRINCHI... OK (55673 rows)
[708/2730] Downloading SEPC... OK (88124 rows)
[709/2730] Downloading IRB... OK (92595 rows)
[710/2730] Downloading QGOLDHALF... OK (89343 rows)
[711/2730] Downloading NMDC... OK (92689 rows)
[712/2730] Downloading RAIN... OK (92642 rows)
[713/2730] Downloading SHALPAINTS... OK (92490 rows)
[714/2730] Downloading SADHNANIQ... OK (54986 rows)
[715/2730] Downloading GSS... OK (83906 rows)
[716/2730] Downloading RECLTD... OK (92641 rows)
[717/2730] Downloading GOLDADD... OK (54989 rows)
[718/2730] Downloading NAHARCAP... OK (91482 rows)
[719/2730] Downloading VGUARD... OK (92552 rows)
[720/2730] Downloading PDMJEPAPER... OK (92086 rows)
[721/2730] Downloading MANKIND... OK (55710 rows)
[722/2730] Downloading RACE... OK (55478 rows)
[723/2730] Downloading EIHAHOTELS... OK (91957 rows)
[724/2730] Downloading APCOTEXIND... OK (92473 rows)
[725/2730] Downloading ATAM... OK (46836 rows)
[726/2730] Downloading NESCO... OK (92494 rows)
[727/2730] Downloading TITAGARH... OK (88355 rows)
[728/2730] Downloading DPSCLTD... OK (91597 rows)
[729/2730] Downloading ACL... OK (55353 rows)
[730/2730] Downloading RKEC... OK (86499 rows)
[731/2730] Downloading HCG... OK (92427 rows)
[732/2730] Downloading AVG... OK (55160 rows)
[733/2730] Downloading ATALREAL... OK (54594 rows)
[734/2730] Downloading RVHL... OK (86433 rows)
[735/2730] Downloading APOLLOHOSP... OK (92648 rows)
[736/2730] Downloading GMMPFAUDLR... OK (92525 rows)
[737/2730] Downloading PIGL... OK (51663 rows)
[738/2730] Downloading GILLETTE... OK (92370 rows)
[739/2730] Downloading TARC... OK (88804 rows)
[740/2730] Downloading LATTEYS... OK (52639 rows)
[741/2730] Downloading HINDWAREAP... OK (82661 rows)
[742/2730] Downloading MGEL... OK (73875 rows)
[743/2730] Downloading INFY... OK (92716 rows)
[744/2730] Downloading INGERRAND... OK (92474 rows)
[745/2730] Downloading PRINCEPIPE... OK (92604 rows)
[746/2730] Downloading AURIGROW... OK (71267 rows)
[747/2730] Downloading BHARATWIRE... OK (82911 rows)
[748/2730] Downloading FAIRCHEMOR... OK (92324 rows)
[749/2730] Downloading PAVNAIND... OK (53744 rows)
[750/2730] Downloading TATAINVEST... OK (35927 rows)
[751/2730] Downloading IOC... OK (92708 rows)
[752/2730] Downloading CCAVENUE... OK (91898 rows)
[753/2730] Downloading EBBETF0430... OK (90448 rows)
[754/2730] Downloading LINDEINDIA... OK (92558 rows)
[755/2730] Downloading BECTORFOOD... OK (92556 rows)
[756/2730] Downloading APOLLOTYRE... OK (92692 rows)
[757/2730] Downloading IONEXCHANG... OK (77875 rows)
[758/2730] Downloading IPCALAB... OK (92585 rows)
[759/2730] Downloading PANACHE... OK (80370 rows)
[760/2730] Downloading MMP... OK (89930 rows)
[761/2730] Downloading ANDHRAPAP... OK (92111 rows)
[762/2730] Downloading ITC... OK (92711 rows)
[763/2730] Downloading VAISHALI... OK (88488 rows)
[764/2730] Downloading SUNDROP... OK (91921 rows)
[765/2730] Downloading KIRIINDUS... OK (92558 rows)
[766/2730] Downloading SIGMA... OK (53917 rows)
[767/2730] Downloading ANIKINDS... OK (88952 rows)
[768/2730] Downloading BAJAJ-AUTO... OK (92683 rows)
[769/2730] Downloading BAJAJFINSV... OK (92672 rows)
[770/2730] Downloading PTCIL... OK (49683 rows)
[771/2730] Downloading DIGISPICE... OK (84796 rows)
[772/2730] Downloading GHCLTEXTIL... OK (53164 rows)
[773/2730] Downloading GOKUL... OK (91918 rows)
[774/2730] Downloading UBL... OK (92606 rows)
[775/2730] Downloading ALMONDZ... OK (89668 rows)
[776/2730] Downloading HGINFRA... OK (92561 rows)
[777/2730] Downloading RPGLIFE... OK (92368 rows)
[778/2730] Downloading MKPL... OK (52685 rows)
[779/2730] Downloading ITI... OK (92585 rows)
[780/2730] Downloading SILVERAG... OK (52889 rows)
[781/2730] Downloading GVT&D... OK (92408 rows)
[782/2730] Downloading ARCHIDPLY... OK (84684 rows)
[783/2730] Downloading LOTUSEYE... OK (83633 rows)
[784/2730] Downloading IVP... OK (83981 rows)
[785/2730] Downloading QNIFTY... OK (80661 rows)
[786/2730] Downloading VINYLINDIA... OK (88155 rows)
[787/2730] Downloading IKIO... OK (53611 rows)
[788/2730] Downloading KOKUYOCMLN... OK (88220 rows)
[789/2730] Downloading SINDHUTRAD... OK (49261 rows)
[790/2730] Downloading LPDC... OK (81608 rows)
[791/2730] Downloading SICAGEN... OK (1089 rows)
[792/2730] Downloading DPWIRES... OK (91876 rows)
[793/2730] Downloading TOUCHWOOD... OK (83028 rows)
[794/2730] Downloading ARTEMISMED... OK (88811 rows)
[795/2730] Downloading ZFCVINDIA... OK (87924 rows)
[796/2730] Downloading 20MICRONS... OK (91646 rows)
[797/2730] Downloading JOCIL... OK (91021 rows)
[798/2730] Downloading INDBANK... OK (87499 rows)
[799/2730] Downloading ASHOKAMET... OK (52485 rows)
[800/2730] Downloading ALKALI... OK (80151 rows)
[801/2730] Downloading COUNCODOS... OK (84703 rows)
[802/2730] Downloading TPHQ... OK (56244 rows)
[803/2730] Downloading GATECHDVR... OK (80096 rows)
[804/2730] Downloading MAWANASUG... OK (86999 rows)
[805/2730] Downloading PATANJALI... OK (47178 rows)
[806/2730] Downloading THYROCARE... OK (92565 rows)
[807/2730] Downloading SHARIABEES... OK (88781 rows)
[808/2730] Downloading HMAAGRO... OK (52784 rows)
[809/2730] Downloading PALREDTEC... OK (81228 rows)
[810/2730] Downloading JAYBARMARU... OK (92399 rows)
[811/2730] Downloading URAVIDEF... OK (51648 rows)
[812/2730] Downloading CROMPTON... OK (92639 rows)
[813/2730] Downloading SUMICHEM... OK (92578 rows)
[814/2730] Downloading PARAGMILK... OK (92553 rows)
[815/2730] Downloading IDEAFORGE... OK (52560 rows)
[816/2730] Downloading AARTECH... OK (51841 rows)
[817/2730] Downloading MIDCAPIETF... OK (90848 rows)
[818/2730] Downloading NEXT50... OK (87667 rows)
[819/2730] Downloading SHRIPISTON... OK (50463 rows)
[820/2730] Downloading CYIENTDLM... OK (52485 rows)
[821/2730] Downloading PAKKA... OK (52415 rows)
[822/2730] Downloading JAYSREETEA... OK (92474 rows)
[823/2730] Downloading ITADD... OK (51868 rows)
[824/2730] Downloading ALBERTDAVD... OK (87193 rows)
[825/2730] Downloading JBCHEPHARM... OK (92475 rows)
[826/2730] Downloading ARMANFIN... OK (92037 rows)
[827/2730] Downloading ASPINWALL... OK (89295 rows)
[828/2730] Downloading SENCO... OK (52185 rows)
[829/2730] Downloading SETFGOLD... OK (92326 rows)
[830/2730] Downloading BLS... OK (87723 rows)
[831/2730] Downloading AJMERA... OK (85763 rows)
[832/2730] Downloading LLOYDSME... OK (52115 rows)
[833/2730] Downloading MHRIL... OK (92561 rows)
[834/2730] Downloading SALONA... OK (86875 rows)
[835/2730] Downloading GKWLIMITED... OK (83906 rows)
[836/2730] Downloading UTKARSHBNK... OK (51810 rows)
[837/2730] Downloading VINATIORGA... OK (92505 rows)
[838/2730] Downloading LANDSMILL... OK (74041 rows)
[839/2730] Downloading ADANIPOWER... OK (87869 rows)
[840/2730] Downloading SETF10GILT... OK (77471 rows)
[841/2730] Downloading PREMEXPLN... OK (73135 rows)
[842/2730] Downloading NHPC... OK (92627 rows)
[843/2730] Downloading BANKETF... OK (50936 rows)
[844/2730] Downloading GLOBUSSPR... OK (86948 rows)
[845/2730] Downloading NETWEB... OK (51060 rows)
[846/2730] Downloading OIL... OK (92636 rows)
[847/2730] Downloading NV20IETF... OK (92304 rows)
[848/2730] Downloading CONTROLPR... OK (92230 rows)
[849/2730] Downloading EXPLEOSOL... OK (87606 rows)
[850/2730] Downloading INCREDIBLE... OK (81785 rows)
[851/2730] Downloading SETCO... OK (88589 rows)
[852/2730] Downloading RTNPOWER... OK (81214 rows)
[853/2730] Downloading MAHASTEEL... OK (89216 rows)
[854/2730] Downloading MGL... OK (92597 rows)
[855/2730] Downloading DAMODARIND... OK (86203 rows)
[856/2730] Downloading AMRUTANJAN... OK (92464 rows)
[857/2730] Downloading JINDALPOLY... OK (92550 rows)
[858/2730] Downloading LIQUID... OK (51220 rows)
[859/2730] Downloading PVTBANKADD... OK (50879 rows)
[860/2730] Downloading ASALCBR... OK (92477 rows)
[861/2730] Downloading MAHEPC... OK (92282 rows)
[862/2730] Downloading SENSEXADD... OK (48480 rows)
[863/2730] Downloading PSUBANKADD... OK (50648 rows)
[864/2730] Downloading MOLDTECH... OK (88095 rows)
[865/2730] Downloading ZYDUSWELL... OK (92515 rows)
[866/2730] Downloading SUNTECK... OK (92573 rows)
[867/2730] Downloading POKARNA... OK (92487 rows)
[868/2730] Downloading UNIVPHOTO... OK (88648 rows)
[869/2730] Downloading ALOKINDS... OK (55467 rows)
[870/2730] Downloading GPTINFRA... OK (72060 rows)
[871/2730] Downloading VIJIFIN... OK (75579 rows)
[872/2730] Downloading LTGILTBEES... OK (87363 rows)
[873/2730] Downloading MIDSELIETF... OK (91234 rows)
[874/2730] Downloading QUESS... OK (92543 rows)
[875/2730] Downloading DEN... OK (92579 rows)
[876/2730] Downloading ASTEC... OK (92396 rows)
[877/2730] Downloading BAFNAPH... OK (63185 rows)
[878/2730] Downloading YATHARTH... OK (50985 rows)
[879/2730] Downloading NIITMTS... OK (50162 rows)
[880/2730] Downloading SHILPAMED... OK (92562 rows)
[881/2730] Downloading SARDAEN... OK (87970 rows)
[882/2730] Downloading REFEX... OK (92469 rows)
[883/2730] Downloading GROBTEA... OK (82472 rows)
[884/2730] Downloading ATL... OK (50015 rows)
[885/2730] Downloading SOMICONVEY... OK (59281 rows)
[886/2730] Downloading TREL... OK (50009 rows)
[887/2730] Downloading LLOYDSENGG... OK (73722 rows)
[888/2730] Downloading QUAL30IETF... OK (49831 rows)
[889/2730] Downloading LTM... OK (92137 rows)
[890/2730] Downloading KANPRPLA... OK (91399 rows)
[891/2730] Downloading AHLUCONT... OK (92000 rows)
[892/2730] Downloading GILLANDERS... OK (84737 rows)
[893/2730] Downloading DLINKINDIA... OK (92544 rows)
[894/2730] Downloading REDTAPE... OK (49940 rows)
[895/2730] Downloading JSWENERGY... OK (92589 rows)
[896/2730] Downloading GODREJPROP... OK (92627 rows)
[897/2730] Downloading DBCORP... OK (92500 rows)
[898/2730] Downloading GATECH... OK (48779 rows)
[899/2730] Downloading ABBOTINDIA... OK (92562 rows)
[900/2730] Downloading HDIL... OK (66703 rows)
[901/2730] Downloading GEEKAYWIRE... OK (36690 rows)
[902/2730] Downloading BAYERCROP... OK (92459 rows)
[903/2730] Downloading BEARDSELL... OK (73080 rows)
[904/2730] Downloading HINDCOPPER... OK (92653 rows)
[905/2730] Downloading COHANCE... OK (92546 rows)
[906/2730] Downloading MMTC... OK (92583 rows)
[907/2730] Downloading NESTLEIND... OK (92634 rows)
[908/2730] Downloading AWHCL... OK (92532 rows)
[909/2730] Downloading SBICARD... OK (92679 rows)
[910/2730] Downloading TRF... OK (61836 rows)
[911/2730] Downloading UNITEDTEA... OK (88168 rows)
[912/2730] Downloading WHIRLPOOL... OK (92576 rows)
[913/2730] Downloading JYOTISTRUC... OK (35018 rows)
[914/2730] Downloading VLEGOV... OK (49682 rows)
[915/2730] Downloading SETUINFRA... OK (34133 rows)
[916/2730] Downloading SBFC... OK (50536 rows)
[917/2730] Downloading MBLINFRA... OK (90191 rows)
[918/2730] Downloading ADVENZYMES... OK (92602 rows)
[919/2730] Downloading MINDTECK... OK (86830 rows)
[920/2730] Downloading KABRAEXTRU... OK (92504 rows)
[921/2730] Downloading CONCORDBIO... OK (50385 rows)
[922/2730] Downloading KAJARIACER... OK (92570 rows)
[923/2730] Downloading DBL... OK (92576 rows)
[924/2730] Downloading JUBLFOOD... OK (92651 rows)
[925/2730] Downloading ARENTERP... OK (80399 rows)
[926/2730] Downloading NIFTY1... OK (91491 rows)
[927/2730] Downloading VASCONEQ... OK (92326 rows)
[928/2730] Downloading THANGAMAYL... OK (92224 rows)
[929/2730] Downloading SRGHFL... OK (48828 rows)
[930/2730] Downloading DBREALTY... OK (85120 rows)
[931/2730] Downloading YASHO... OK (50309 rows)
[932/2730] Downloading DOLPHIN... OK (47660 rows)
[933/2730] Downloading KPIL... OK (92540 rows)
[934/2730] Downloading EMMBI... OK (91813 rows)
[935/2730] Downloading JIOFIN... OK (50311 rows)
[936/2730] Downloading TVSSCS... OK (50160 rows)
[937/2730] Downloading HATHWAY... OK (92615 rows)
[938/2730] Downloading ORIENTLTD... OK (88912 rows)
[939/2730] Downloading TEXMOPIPES... OK (88580 rows)
[940/2730] Downloading KECL... OK (85325 rows)
[941/2730] Downloading MANINFRA... OK (92526 rows)
[942/2730] Downloading LORDSCHLO... OK (49144 rows)
[943/2730] Downloading PYRAMID... OK (49093 rows)
[944/2730] Downloading SPAL... OK (92370 rows)
[945/2730] Downloading KAMATHOTEL... OK (79756 rows)
[946/2730] Downloading AEROFLEX... OK (49710 rows)
[947/2730] Downloading HDFCLIQUID... OK (45414 rows)
[948/2730] Downloading HNGSNGBEES... OK (90580 rows)
[949/2730] Downloading IVZINGOLD... OK (77959 rows)
[950/2730] Downloading LGBBROSLTD... OK (92512 rows)
[951/2730] Downloading VPRPL... OK (49485 rows)
[952/2730] Downloading MIDCAPBETA... OK (47391 rows)
[953/2730] Downloading KANORICHEM... OK (91095 rows)
[954/2730] Downloading SANDUMA... OK (49340 rows)
[955/2730] Downloading PERSISTENT... OK (92597 rows)
[956/2730] Downloading NDGL... OK (78819 rows)
[957/2730] Downloading KARURVYSYA... OK (92621 rows)
[958/2730] Downloading RBLBANK... OK (92680 rows)
[959/2730] Downloading TCPLPACK... OK (91680 rows)
[960/2730] Downloading KCP... OK (92493 rows)
[961/2730] Downloading RISHABH... OK (49181 rows)
[962/2730] Downloading ASIANHOTNR... OK (88378 rows)
[963/2730] Downloading RATNAVEER... OK (43598 rows)
[964/2730] Downloading BIGBLOC... OK (71399 rows)
[965/2730] Downloading POWERINDIA... OK (92493 rows)
[966/2730] Downloading ISFT... OK (86861 rows)
[967/2730] Downloading SABEVENTS... OK (54461 rows)
[968/2730] Downloading TVVISION... OK (65618 rows)
[969/2730] Downloading CUPID... OK (76232 rows)
[970/2730] Downloading DIACABS... OK (46185 rows)
[971/2730] Downloading JLHL... OK (48810 rows)
[972/2730] Downloading MITTAL... OK (73550 rows)
[973/2730] Downloading LTTS... OK (92635 rows)
[974/2730] Downloading RRKABEL... OK (48735 rows)
[975/2730] Downloading GNA... OK (92499 rows)
[976/2730] Downloading KIRLOSBROS... OK (86069 rows)
[977/2730] Downloading KESORAMIND... OK (91738 rows)
[978/2730] Downloading EMSLIMITED... OK (48660 rows)
[979/2730] Downloading ZAGGLE... OK (48585 rows)
[980/2730] Downloading SAMHI... OK (48585 rows)
[981/2730] Downloading DIAMINESQ... OK (48326 rows)
[982/2730] Downloading ICICIPRULI... OK (92632 rows)
[983/2730] Downloading MARATHON... OK (91739 rows)
[984/2730] Downloading HPL... OK (92445 rows)
[985/2730] Downloading NUVAMA... OK (47690 rows)
[986/2730] Downloading MASKINVEST... OK (60439 rows)
[987/2730] Downloading SIGNATURE... OK (48360 rows)
[988/2730] Downloading KALAMANDIR... OK (48360 rows)
[989/2730] Downloading YATRA... OK (48285 rows)
[990/2730] Downloading IDFNIFTYET... OK (79331 rows)
[991/2730] Downloading CARYSIL... OK (88181 rows)
[992/2730] Downloading ENDURANCE... OK (92526 rows)
[993/2730] Downloading TARAPUR... OK (67071 rows)
[994/2730] Downloading NIRAJISPAT... OK (15307 rows)
[995/2730] Downloading VERTOZ... OK (90001 rows)
[996/2730] Downloading MAZDA... OK (90780 rows)
[997/2730] Downloading SJVN... OK (92649 rows)
[998/2730] Downloading KSL... OK (92471 rows)
[999/2730] Downloading PNBHOUSING... OK (87945 rows)
[1000/2730] Downloading VBL... OK (92601 rows)
[1001/2730] Downloading SUNDARAM... OK (67973 rows)
[1002/2730] Downloading KINGFA... OK (91773 rows)
[1003/2730] Downloading RAJRATAN... OK (78835 rows)
[1004/2730] Downloading KAPSTON... OK (74238 rows)
[1005/2730] Downloading UNIVASTU... OK (90536 rows)
[1006/2730] Downloading STYRENIX... OK (92488 rows)
[1007/2730] Downloading CUMMINSIND... OK (92593 rows)
[1008/2730] Downloading MVGJL... OK (48130 rows)
[1009/2730] Downloading JSWINFRA... OK (48136 rows)
[1010/2730] Downloading KIRLOSIND... OK (91384 rows)
[1011/2730] Downloading PODDARMENT... OK (90676 rows)
[1012/2730] Downloading MANAPPURAM... OK (92665 rows)
[1013/2730] Downloading AARVI... OK (91238 rows)
[1014/2730] Downloading ITBEES... OK (88167 rows)
