Loading instrument list from /Users/jithendrabethi/Desktop/my_projects/Project Nemesis/experiments/nse_movers/dhan_instruments.csv...
[191/2730] Downloading ULTRACEMCO... OK (92594 rows)
[192/2730] Downloading TCS... OK (92650 rows)
[193/2730] Downloading HDFCMOMENT... OK (64279 rows)
[194/2730] Downloading COFORGE... OK (92556 rows)
[195/2730] Downloading HDFCLOWVOL... OK (62664 rows)
[196/2730] Downloading TEXINFRA... OK (91382 rows)
[197/2730] Downloading DCI... OK (64465 rows)
[198/2730] Downloading PPLPHARMA... OK (65091 rows)
[199/2730] Downloading FORCEMOT... OK (86809 rows)
[200/2730] Downloading WESTLIFE... OK (92376 rows)
[201/2730] Downloading GULFPETRO... OK (87355 rows)
[202/2730] Downloading TRACXN... OK (65696 rows)
[203/2730] Downloading HDFCNIFTY... OK (91330 rows)
[204/2730] Downloading HDFCSENSEX... OK (90649 rows)
[205/2730] Downloading LINCOLN... OK (92436 rows)
[206/2730] Downloading GUFICBIO... OK (92475 rows)
[207/2730] Downloading ASTRAMICRO... OK (92479 rows)
[208/2730] Downloading GOLDENTOBC... OK (58938 rows)
[209/2730] Downloading WELENT... OK (92406 rows)
[210/2730] Downloading NARMADA... OK (64446 rows)
[211/2730] Downloading NTPC... OK (92614 rows)
[212/2730] Downloading SALSTEEL... OK (83360 rows)
[213/2730] Downloading NEWGEN... OK (41453 rows)
[214/2730] Downloading BOHRAIND... OK (47037 rows)
[215/2730] Downloading KOTARISUG... OK (87647 rows)
[216/2730] Downloading LALPATHLAB... OK (92687 rows)
[217/2730] Downloading JBMA... OK (92541 rows)
[218/2730] Downloading DWARKESH... OK (92709 rows)
[219/2730] Downloading INDOCO... OK (92623 rows)
[220/2730] Downloading GMBREW... OK (92528 rows)
[221/2730] Downloading SUPRAJIT... OK (92634 rows)
[222/2730] Downloading PATELENG... OK (83922 rows)
[223/2730] Downloading ALKEM... OK (92664 rows)
[224/2730] Downloading XCHANGING... OK (92640 rows)
[225/2730] Downloading JSWSTEEL... OK (92789 rows)
[226/2730] Downloading CONSOFINVT... OK (90128 rows)
[227/2730] Downloading GNFC... OK (92711 rows)
[228/2730] Downloading JINDALPHOT... OK (88222 rows)
[229/2730] Downloading JPPOWER... OK (88173 rows)
[230/2730] Downloading GOKEX... OK (92569 rows)
[231/2730] Downloading ACEINTEG... OK (53311 rows)
[232/2730] Downloading EVEREADY... OK (92615 rows)
[233/2730] Downloading GOYALALUM... OK (61911 rows)
[234/2730] Downloading SAKSOFT... OK (87814 rows)
[235/2730] Downloading HPIL... OK (48759 rows)
[236/2730] Downloading ALLDIGI... OK (92125 rows)
[237/2730] Downloading SUKHJITS... OK (64665 rows)
[238/2730] Downloading IIFL... OK (87184 rows)
[239/2730] Downloading GODFRYPHLP... OK (92593 rows)
[240/2730] Downloading SHOPERSTOP... OK (92604 rows)
[241/2730] Downloading MANGALAM... OK (92076 rows)
[242/2730] Downloading WELCORP... OK (92656 rows)
[243/2730] Downloading SSWL... OK (88035 rows)
[244/2730] Downloading NH... OK (92611 rows)
[245/2730] Downloading KENNAMET... OK (46362 rows)
[246/2730] Downloading CYBERMEDIA... OK (78322 rows)
[247/2730] Downloading AMBER... OK (92623 rows)
[248/2730] Downloading SURYALAXMI... OK (83473 rows)
[249/2730] Downloading SHAHALLOYS... OK (78465 rows)
[250/2730] Downloading GLAND... OK (92650 rows)
[251/2730] Downloading JKPAPER... OK (92697 rows)
[252/2730] Downloading PRIMESECU... OK (90986 rows)
[253/2730] Downloading 63MOONS... OK (83780 rows)
[254/2730] Downloading GRANULES... OK (92714 rows)
[255/2730] Downloading JSWHL... OK (90887 rows)
[256/2730] Downloading MANINDS... OK (87981 rows)
[257/2730] Downloading VHL... OK (89986 rows)
[258/2730] Downloading DCXINDIA... OK (60409 rows)
[259/2730] Downloading GEOJITFSL... OK (92606 rows)
[260/2730] Downloading FMGOETZE... OK (92502 rows)
[261/2730] Downloading GENUSPOWER... OK (92610 rows)
[262/2730] Downloading SWELECTES... OK (87813 rows)
[263/2730] Downloading YESBANK... OK (92793 rows)
[264/2730] Downloading MSPL... OK (71913 rows)
[265/2730] Downloading NECLIFE... OK (91787 rows)
[266/2730] Downloading FUSION... OK (64560 rows)
[267/2730] Downloading SPLIL... OK (91246 rows)
[268/2730] Downloading MCLEODRUSS... OK (88476 rows)
[269/2730] Downloading MEDANTA... OK (64486 rows)
[270/2730] Downloading KANSAINER... OK (92606 rows)
[271/2730] Downloading SEMAC... OK (87507 rows)
[272/2730] Downloading BIKAJI... OK (64486 rows)
[273/2730] Downloading VIVIMEDLAB... OK (32346 rows)
[274/2730] Downloading GOLDIAM... OK (92607 rows)
[275/2730] Downloading RML... OK (92276 rows)
[276/2730] Downloading HTMEDIA... OK (92463 rows)
[277/2730] Downloading SASKEN... OK (92500 rows)
[278/2730] Downloading ICIL... OK (92646 rows)
